point	event	pull_pnum	pull_code	recv_pnum	recv_code
14	1	3	P		
14	2			61	PU
14	3			88	
14	4			90	
14	5	3	PU		
14	6			88	D
14	7			88	PU
14	8			90	
14	9			17	
14	10			5	
14	11			90	
14	12	3	PU		
14	13			90	D
14	14			90	PU
14	15			17	
14	16			61	
14	17			17	
14	18			88	
14	19			5	
14	20			17	
14	21			90	
14	22			5	G
15	1	19	P		
15	2			7	PU
15	3			23	
15	4			13	
15	5			42	
15	6			13	
15	7			23	
15	8			14	
15	9			13	
15	10			7	
15	11			13	
15	12			25	
15	13			14	
15	14	99	PU		
15	15	27			
15	16	20			
15	17	19			
15	18	27			
15	19	3			
15	20	99	G		
16	1	2	P		
16	2			25	PU
16	3			33	
16	4			3	
16	5			64	
16	6			11	
16	7			42	
16	8			11	
16	9			38	
16	10			11	
16	11			33	
16	12			3	
16	13			64	
16	14			3	
16	15			64	TD
16	16	2	PU		
16	17	12			
16	18			42	D
16	19			42	PU
16	20			38	
16	21			42	
16	22			25	
16	23			64	
16	24			25	
16	25			33	
16	26			64	
16	27			38	
16	28			42	
16	29			3	G
17	1	1	P		
17	2			17	PU
17	3			61	
17	4			90	
17	5			45	
17	6			7	
17	7			45	
17	8			5	
17	9			7	G
18	1	20	P		
18	2			7	PU
18	3			13	
18	4			25	
18	5			14	
18	6			23	
18	7			3	G
19	1	1	P		
19	2			3	PU
19	3			12	
19	4	64	PU		
19	5	1			
19	6		TO		
19	7	13	PU		
19	8	25			
19	9	13			
19	10	42			
19	11	13			
20	1	1	P		
20	2			61	PU
20	3			88	
20	4			45	TD
20	5	2	PU		
20	6	1			
20	7	2			
20	8	64			
20	9	2			
20	10	6			
20	11			88	PU
20	12			5	
20	13			88	
20	14			61	
20	15			90	
20	16			5	
20	17	2	PU		
20	18	16			
20	19	76			
20	20	1			
20	21			45	D
20	22			61	PU
20	23			17	
20	24			90	
20	25			1	
20	26			90	
20	27			45	
20	28			17	
20	29			61	
20	30			5	G
21	1	99	P		
21	2			7	PU
21	3			23	
21	4			25	
21	5	42	D		
21	6	99	PU		
21	7	31			
21	8	3			
21	9			13	PU
21	10			14	
21	11			7	
21	12	3	F		
21	13			13	
21	14			25	
21	15			23	
21	16			42	
21	17			23	
21	18			13	
21	19			7	
21	20			13	
21	21			11	
21	22			14	
21	23			25	
21	24			13	
21	25			7	
21	26			25	
21	27			14	
21	28			11	
21	29			42	G
22	1	6	P		
22	2			12	PU
22	3			23	
22	4			2	
22	5			23	
22	6			21	
22	7	6	D		
22	8	2	PU		
22	9	6			
22	10	2			
22	11	22	LG		
23	1	3	P		
23	2			88	PU
23	3			90	
23	4			88	
23	5			90	
23	6			45	LG
24	1	19	P		
24	2			7	PU
24	3			13	
24	4			25	
24	5			14	
24	6			7	
24	7			14	
24	8			7	
24	9			23	
24	10			13	
24	11			14	
24	12			42	
24	13			13	
24	14			7	
24	15			14	TD
24	16	99	PU		
24	17	20			
24	18	80			
24	19			13	PU
24	20	14	D		
24	21	14			
24	22	99	G		
25	1	2	P		
25	2			25	PU
25	3			33	
25	4			25	
25	5			33	
25	6			25	
25	7			33	
25	8			25	
25	9			38	
25	10			25	
25	11			33	
25	12			11	
25	13			38	
25	14			3	
25	15			11	LG
26	1	1	P		
26	2			7	PU
26	3			88	
26	4			61	
26	5			45	
26	6			5	
26	7			45	
26	8			61	
26	9			90	LG
27	1	19	P		
27	2			7	PU
27	3			13	
27	4			23	
27	5	99	D		
27	6	99	PU		
27	7	27			
27	8	14			
27	9			3	PU
27	10			23	L
27	11			42	
27	12			14	
27	13				TO
27	14			3	PU
27	15			25	TD
27	16	99	PU		
27	17	19			
27	18	14			
27	19	80			
27	20	14			
27	21	3			
27	22	20	G		
28	1	2	OBP		
28	2			33	PU
28	3			25	
28	4			76	
28	5			16	
28	6			38	
28	7	23	D		
28	8	23	PU		
28	9	3			
28	10			16	D
28	11			16	PU
28	12			25	
28	13			38	
29	1	88	OBP		
29	2			13	PU
29	3			3	
29	4			42	LG
30	1	1	P		
30	2			14	PU
30	3			27	
30	4			19	
30	5			42	
30	6			14	
30	7			27	
30	8			3	
30	9			27	
30	10			19	
30	11			27	
30	12			3	
30	13			27	
30	14			14	
30	15			27	
30	16			31	
30	17			19	G
31	1	2	P		
31	2			13	PU
31	3			7	
31	4			3	
31	5			42	L
31	6			25	G
32	1	16	P		
32	2			61	PU
32	3			88	
32	4			45	
32	5			61	
32	6			90	
32	7			7	TD
32	8	76	PU		
32	9	31			
32	10	64			
32	11	16			
32	12	64			
32	13	31			
32	14	6			
32	15	64			
32	16	2			
32	17	6			
32	18	31			
32	19			88	D
32	20			61	PU
32	21			45	
32	22			61	
32	23			1	
32	24			90	
32	25			61	
32	26	6	D		
32	27	76	PU		
32	28	64			
32	29	2	G		
33	1	3	P		
33	2			3	PU
33	3			31	
33	4			99	
33	5			31	
33	6			99	
33	7			42	G
34	1	2	OBP		
34	2			13	PU
34	3			3	LG
35	1	1	OBP		
35	2			88	PU
35	3			5	
35	4			7	
35	5			17	
35	6			45	
35	7			90	
35	8			61	G
36	1	14	P		
36	2			7	PU
36	3			13	
36	4			25	
36	5			13	
36	6			3	
36	7			13	
36	8			3	
36	9			13	
36	10			7	
36	11			23	
36	12			7	
36	13			11	
36	14			42	
36	15			13	
36	16			3	
36	17	99	PU		
36	18	80			
36	19	99			
36	20	14			
36	21		TO		
36	22	88	PU		
36	23	5			
36	24	17			
36	25	61			
36	26	90			
36	27	17	G		
37	1	2	P		
37	2			7	PU
37	3			13	
37	4			11	
37	5			42	
37	6			23	
37	7			3	
37	8			7	
37	9			3	
37	10			13	
37	11			7	
37	12			13	
37	13			11	G
38	1	16	P		
38	2			20	PU
38	3			99	
38	4			80	LG
39	1	19	P		
39	2			7	PU
39	3			23	
39	4			3	
39	5			23	
39	6			3	
39	7			7	
39	8			25	
39	9			7	
39	10			13	
39	11			25	
39	12			13	
39	13			25	
39	14			7	
39	15			42	
39	16			23	
39	17	99	D		
39	18	42	PU		
39	19	19	L		
39	20	42	G		
40	1	90	P		
40	2			13	PU
40	3			25	
40	4			13	
40	5			3	
40	6			42	
40	7			3	
40	8			23	G
41	1	16	P		
41	2			12	PU
41	3			2	
41	4			23	
41	5			2	
41	6			4	
41	7			21	
41	8			23	
41	9			2	
41	10			12	
41	11			2	
41	12			4	G
42	1	20	P		
42	2			7	PU
42	3			13	
42	4			23	
42	5			13	
42	6			3	
42	7			14	
42	8			3	
42	9			7	G
43	1	1	P		
43	2			88	PU
43	3			1	G
