point	event	pull_pnum	pull_code	recv_pnum	recv_code
25	2			8	PU
25	3			16	
25	4			88	
25	5			13	
25	6			16	
25	7			46	
25	8			16	
25	9			6	
25	10			13	
25	11			16	
25	12			46	
25	13			16	
25	14			8	
25	15			6	G
26	1	5	P		
26	2			11	PU
26	3			24	
26	4			7	
26	5			24	
26	6			6	
26	7			7	
26	8			24	
26	9			11	
26	10			7	
26	11			16	
26	12	5	HB		
26	13	8	PU		
26	14	25			
26	15	85			
26	16			24	PU
26	17			16	G
27	1	8	P		
27	2			16	PU
27	3			8	
27	4			16	
27	5			8	
27	6			21	
27	7			16	
27	8			13	
27	9			88	
27	10			21	
27	11			8	
27	12			6	
27	13			8	
27	14			6	
27	15			8	G
28	1	12	P		
28	2			4	PU
28	3			10	
28	4			73	
28	5			10	
28	6			73	
28	7			42	
28	8			16	
28	9			6	
28	10			2	
28	11			7	
28	12			10	
28	13			42	
28	14			73	
28	15			6	
28	16			73	
28	17			7	
28	18			73	
28	19			42	
28	20			2	
28	21			73	
28	22			7	L
28	23			6	G
29	1	88	P		
29	2			57	PU
29	3			88	
29	4	20	PU		
29	5			6	F
29	6	88			
29	7			22	D
30	1	12	P		
30	2			7	PU
30	3			24	
30	4			11	
30	5			6	
30	6			2	
30	7			7	
30	8			24	
30	9			11	
30	10			2	
30	11			6	
30	12			11	
30	13			7	
30	14			16	
30	15			24	
30	16			11	
30	17			6	
30	18	11	D		
30	19	12	PU		
30	20			2	D
30	21			24	PU
30	22			2	
30	23			7	
30	24			24	
30	25			16	
30	26	12	PU		
30	27	25			
30	28	12			
30	29	25			
30	30	12			
30	31	16			
30	32	85			
30	33	18	LG		
31	1	5	P		
31	2			73	PU
31	3			10	
31	4			7	
31	5			73	
31	6			42	L
31	7			6	G
32	1	88	P		
32	2			8	PU
32	3	22	PU		
32	4	3			
32	5			21	F
32	6	12	G		
33	1	88	P		
33	2			16	PU
33	3			8	
33	4			16	
33	5			13	
33	6			16	
33	7			13	
33	8			88	
33	9			19	
33	10			6	
33	11			21	
33	12			19	
33	13			6	
33	14			16	G
34	1	12	P		
34	2			7	PU
34	3			24	
34	4			11	
34	5			42	
34	6			11	
34	7			16	
34	8			42	
34	9			7	
34	10			24	
34	11			11	
34	12			16	
34	13			7	
34	14			24	
34	15			7	
34	16	85	PU		
34	17	18			
34	18	11	TO		
34	19	16	PU		
34	20	21			
34	21	6			
34	22	88			
34	23	8			
34	24	88			
34	25	16			
34	26	8			
34	27	21			
34	28	8	TD		
34	29			21	PU
34	30			14	
34	31			88	
34	32			12	L
34	33			15	
34	34			88	
34	35			17	
34	36			15	
34	37			17	
34	38			4	G
35	1	73	P		
35	2			1	PU
35	3			57	
35	4			88	
35	5			57	
35	6			6	
35	7			13	
35	8			22	
35	9			13	
35	10			6	
35	11			46	
35	12	2	F		
35	13			88	
35	14			46	G
36	1	5	P		
36	2			24	PU
36	3	5	D		
36	4	11	PU		
36	5	25			
36	6	17			
36	7	10			
36	8	17			
36	9	11			
36	10	21	G		
37	1	5	OBP		
37	2			7	PU
37	3			11	
37	4			2	
37	5			11	
37	6			7	
37	7			8	G
38	1	88	P		
38	2			88	PU
38	3			16	
38	4			13	
38	5			16	
38	6	5	D		
38	7	88	PU		
38	8	5			
38	9			21	F
38	10	88			
38	11	21			
38	12	2			
38	13	17			
38	14	88			
38	15	2			
38	16	22			
38	17	88			
38	18	2	LG		
39	1	42	P		
39	2			25	PU
39	3			12	
39	4			5	
39	5			12	
39	6			18	TD
39	7	1	PU		
39	8	88			
39	9			1	F
39	10	22			
39	11	21			
39	12	88			
39	13	21			
39	14	22			
39	15	20			
39	16			18	F
39	17	20			
39	18			25	PU
39	19	42	F		
39	20			5	
39	21			18	
39	22			46	
39	23			25	
39	24			12	
39	25	14	PU		
