point	event	pull_pnum	pull_code	recv_pnum	recv_code
24	2			89	PU
24	3			5	
24	4			89	
24	5			10	
24	6	21	PU		
24	7	7			
24	8	21			
24	9	8	L		
24	10	17	G		
25	1	88	P		
25	2			5	PU
25	3			89	
25	4			22	
25	5			8	
25	6			89	
25	7			11	
25	8			21	
25	9			89	
25	10			11	
25	11			5	
25	12			21	
25	13			8	
25	14			5	
25	15			11	
25	16			21	G
26	1	8	P		
26	2			24	PU
26	3			73	
26	4			24	
26	5			42	
26	6			1	
26	7			9	
26	8			6	LG
27	1	88	P		
27	2			5	PU
27	3			89	
27	4			22	
27	5			21	
27	6			98	LG
28	1	8	P		
28	2			24	PU
28	3			9	
28	4			42	
28	5			9	
28	6			73	
28	7			2	
28	8			42	
28	9			24	
28	10			9	
28	11			24	
28	12			6	
28	13	81	F		
28	14			2	
28	15			24	
28	16			42	
28	17	11	PU		
28	18	45			
28	19	27			
28	20	24			
28	21	8			
28	22	?	VP		
28	23	11			
28	24	4	G		
29	1	8	P		
29	2			88	PU
29	3			24	
29	4			9	
29	5			42	
29	6			6	
29	7			2	LG
30	1	88	P		
30	2			89	PU
30	3			5	
30	4			98	
30	5	7	PU		
30	6	8	L		
30	7	3			
30	8	8			
30	9	8	VST		
30	10			5	PU
30	11			89	
30	12			5	
30	13			10	
30	14			72	
30	15			5	
30	16	88	PU		
30	17	7	TO		
30	18	24	PU		
30	19	9			
30	20	24			
30	21	6			
30	22	42			
30	23	6			
30	24	73			
30	25	7			
30	26	42			
30	27	7			
30	28	73			
30	29	24			
30	30	2			
30	31	6			
30	32	42			
30	33			8	D
31	1	8	P		
31	2			73	PU
31	3			9	
31	4			73	
31	5			6	
31	6			2	
31	7			42	
31	8			73	
31	9			42	
31	10			73	
31	11			24	
31	12	24	HB		
31	13	4	PU		
31	14	8			
31	15			24	D
31	16			24	PU
31	17			73	
31	18			2	
31	19			9	
31	20			42	
31	21			73	
31	22			16	
31	23			24	
31	24			2	
31	25	4	F		
31	26			16	
31	27			24	
31	28			42	
31	29			2	
31	30			6	
31	31			2	
31	32			73	
31	33			2	
31	34			24	
31	35	24	F		
31	36			6	G
32	1	88	P		
32	2			5	PU
32	3			89	
32	4			5	
32	5			89	
32	6			22	
32	7			98	
32	8			72	
32	9	7	FB		
32	10	8	PU		
32	11	88			
32	12	7			
32	13	88			
32	14	17			
32	15	3	L		
32	16	21	G		
33	1	88	P		
33	2			89	PU
33	3			5	
33	4			10	
33	5			11	
33	6			8	
33	7			13	
33	8			8	
33	9			89	
33	10			5	G
34	1	8	P		
34	2			24	PU
34	3			9	
34	4			73	
34	5			9	
34	6			2	
34	7			42	
34	8			6	
34	9			2	
34	10			16	
34	11			24	
34	12			9	
34	13			73	
34	14			24	
34	15	45	F		
34	16	81	SO		
34	17	27	SI		
34	18			24	PU
34	19			73	F
34	20	24	PU		
34	21	31			
34	22	8			
34	23	?	TO		
34	24			2	F
34	25	89	PU		
34	26			81	F
34	27	98			
34	28	89			
34	29	98	G		
35	1	8	OBP		
35	2			24	PU
35	3			9	
35	4			42	
35	5			2	
35	6			6	
35	7			16	
35	8			2	
35	9			42	G
36	1	88	P		
36	2			5	PU
36	3			89	
36	4			5	
36	5			89	
36	6			98	
36	7			5	
36	8	7	PU		
36	9	88			
36	10	8			
36	11	3	L		
36	12	17	G		
37	1	88	P		
37	2			89	PU
37	3			5	
37	4			8	
37	5			11	
37	6			5	
37	7			8	LG
38	1	8	P		
38	2			9	PU
38	3			24	
38	4			73	
38	5			24	
38	6			16	
38	7			24	
38	8			73	
38	9			42	L
38	10			16	G
39	1	88	P		
39	2			5	PU
39	3			89	
39	4			22	
39	5			98	
39	6			10	
39	7			89	
39	8			22	G
40	1	8	P		
40	2			73	PU
40	3			24	
40	4			73	
40	5			24	
40	6			42	
40	7			24	
40	8			2	
40	9			24	
40	10			42	
40	11			24	
40	12			6	
40	13			24	
40	14	14	D		
40	15	7	TO		
40	16	5	PU		
40	17	21			
40	18	22			
40	19	5			
