point	event	pullNum	pullCode	recvNum	recvCode
10	2			88	PU
10	3			5	
10	4			23	L
10	5			24	
10	6			23	
10	7			34	
10	8			88	
10	9			24	G
11	1	46	P		
11	2			7	PU
11	3			11	
11	4			7	
11	5			11	
11	6			7	
11	7			42	
11	8			2	
11	9			6	
11	10	16	PU		
11	11	21	VST		
11	12			10	PU
11	13			7	
11	14			11	G
12	1	8	P		
12	2			57	PU
12	3			5	
12	4			57	
12	5			40	
12	6			19	
12	7			40	
12	8			5	
12	9			40	
12	10			5	
12	11			23	
12	12			8	
12	13			23	TD
12	14	21	PU		
12	15	9			
12	16	8			
12	17	5			
12	18	9			
12	19	17			
12	20	4			
12	21	9			
12	22	5	TO		
12	23	24	PU		
12	24	11			
12	25	7			
12	26	24			
12	27			85	D
12	28			16	PU
12	29			21	LG
13	1	46	P		
13	2			24	PU
13	3			7	TD
13	4	17	PU		
13	5	14			
13	6	17			
13	7	46			
13	8	25			
13	9			24	PU
13	10	17	D		
13	11	17	PU		
13	12			2	D
13	13			2	
13	14			24	
13	15			7	
13	16	17	F		
13	17			2	
13	18			11	L
13	19			7	
13	20			16	G
14	1	8	P		
14	2			88	PU
14	3			13	
14	4			88	
14	5			40	
14	6			5	
14	7			34	
14	8			13	
14	9			34	
14	10			24	TD
14	11	6	PU		
14	12	22			
14	13	21			
14	14	22			
14	15	17			
14	16	22			
14	17	8			
14	18	6	TD		
14	19			5	PU
14	20			23	
14	21			5	
14	22			23	
14	23			13	
14	24			5	
14	25			40	
14	26			34	
14	27			13	
14	28			5	
14	29			13	
14	30			23	
14	31			5	
14	32			40	
14	33			24	LG
15	1	12	P		
15	2			10	PU
15	3			24	
15	4			7	
15	5			24	
15	6			42	L
15	7			11	
15	8			2	LG
16	1	8	P		
16	2			5	PU
16	3			88	
16	4			40	
16	5			23	
16	6			34	
16	7			13	
16	8			24	G
17	1	16	P		
17	2			10	PU
17	3			24	
17	4			7	
17	5	25	D		
17	6	25	PU		
17	7	11			
17	8	25			
17	9	11			
17	10			24	PU
17	11			10	
17	12			7	
17	13			24	
17	14			10	
17	15			24	
17	16			10	
17	17			7	
17	18			16	
17	19			7	
17	20			24	
17	21			10	G
18	1	6	P		
18	2			57	PU
18	3			8	
18	4			40	
18	5			23	L
19	1	46	P		
19	2			24	PU
19	3	16	PU		
19	4	85	TD		
19	5			10	PU
19	6			7	
