point	event	pullNum	pullCode	recvNum	recvCode
9	22			20	
9	23			51	
9	24			18	
9	25			17	
9	26			3	
9	27			17	
9	28			3	
9	29			6	
9	30			48	G
10	1	?	P		
10	2			88	PU
10	3			5	
10	4			88	
10	5			5	
10	6	21	HB		
10	7	21	TO		
10	8	3	PU		
10	9	9	G		
11	1	?	P		
11	2			5	PU
11	3			34	
11	4			24	
11	5			11	
11	6			5	
12	1	46	P		
12	2			35	PU
12	3			3	TD
12	4	17	PU		
12	5	37			
12	6	17			
12	7	12	G		
13	1	16	P		
13	2			3	PU
13	3			17	
13	4			3	
13	5			17	
13	6			35	
13	7			9	
13	8			3	
13	9			9	
13	10			3	
13	11			9	
13	12			17	
13	13			48	
13	14			6	TD
13	15	83	PU		
13	16	7			
13	17			3	PU
13	18			6	
13	19			48	G
14	1	?	P		
14	2			57	PU
14	3			5	
14	4			8	
14	5			34	
14	6			8	
14	7			40	
14	8			8	G
15	1	?	P		
15	2			1	PU
15	3			17	
15	4			3	
15	5			17	
15	6			20	
15	7			3	
15	8			51	TD
15	9	83	PU		
15	10	21	TO		
15	11	5	PU		
15	12	34			
15	13	5			
15	14	11			
15	15			48	D
15	16			35	PU
15	17			28	
15	18			35	
15	19			29	
15	20			13	
15	21			35	
15	22	40	F		
15	23			9	
15	24	23	PU		
15	25	24	L		
15	26	34			
15	27	88	G		
16	1	?	P		
16	2			20	PU
16	3			3	
16	4			20	
16	5			17	
16	6			48	
16	7			17	VST
16	8	12	PU		
16	9	46			
16	10			3	PU
16	11			17	
16	12			18	
16	13			1	
16	14			18	
16	15			1	
16	16			17	
16	17			20	
16	18			1	
16	19			17	
16	20	12	PU		
16	21	18			
16	22	85	G		
17	1	16	P		
17	2			20	PU
17	3			17	TD
17	4	83	PU		
17	5	16			
17	6	83	TD		
17	7			35	PU
17	8			9	
17	9			20	
17	10			3	
17	11			6	
17	12			9	LG
18	1	35	P		
18	2			11	PU
18	3	35	PU		
18	4			23	PU
18	5			24	
18	6			23	
18	7	35	D		
18	8	35			
18	9	13	TD		
18	10			34	PU
18	11			24	
18	12			40	
18	13			24	G
19	1	12	P		
19	2			1	PU
19	3			3	
19	4			6	
19	5			17	G
20	1	29	P		
20	2			57	PU
20	3			8	
20	4			5	
20	5	9	PU		
20	6	28	TD		
20	7			34	PU
20	8			13	
20	9			40	
20	10			13	
20	11			34	
20	12			8	G
21	1	16	P		
21	2			17	PU
21	3			20	
21	4			6	
21	5			18	
21	6	21	TO		
21	7	5	PU		
21	8	40	TD		
21	9			35	PU
21	10			9	G
22	1	35	P		
22	2			11	PU
22	3			88	
22	4			34	
22	5			11	
23	1	46	P		
23	2			3	PU
23	3	12	F		
23	4			17	
23	5			3	
23	6	12	F		
23	7	37	D		
23	8	85	PU		
23	9	17			
23	10	85			
23	11	10			
23	12	85			
23	13			35	PU
23	14			3	
23	15			6	
23	16	85	D		
23	17	17	PU		
23	18	85			
23	19	37			
23	20	10	G		
24	1	16	P		
24	2			17	PU
24	3			20	
24	4			17	
24	5			1	
24	6			48	
24	7			1	
24	8			48	G
25	1	35	P		
25	2			11	PU
25	3			13	
25	4	29	PU		
25	5	35			
25	6	9			
25	7	35			
25	8	24			
25	9	21			
25	10	29	G		
26	1	35	P		
26	2			5	PU
26	3			8	
26	4			34	
26	5			5	
26	6			8	
26	7			5	
26	8			8	
26	9			5	
26	10			8	
26	11			40	
26	12	35	PU		
26	13	48	LG		
27	1	35	P		
27	2			25	PU
27	3			83	
27	4			25	
27	5			7	TD
27	6	3	PU		
27	7	9			
27	8	35			
