week	game	gspread_name	gspread_url	youtube_url
12	2014-06-28_vanNH-at-pdxST	Official Statistics - 2014 - Playoffs - 6/28 - Nighthawks @ Stags	https://docs.google.com/spreadsheet/ccc?key=0Ap1DaI5MNU7jdDJSbEhVS05rUDF4bjdFRFViVDlFMmc	http://www.youtube.com/watch?v=gjmMEpBiW6Q&feature=share&list=PLMlFKmL1Mgr0V-DsiB0RT92NxonHW5va8&index=2
1	2014-04-12_seaRM-at-sfoDF	Official Statistics - 2014 - Week 1 - 4/12 - Rainmakers @ Dogfish	https://docs.google.com/spreadsheet/ccc?key=0Amv44BTCAXF-dEp5bmpsbHJ3b1RTcFFGRlNRa1Z3Wnc	http://www.youtube.com/watch?v=mJDDRdpRv9g&feature=share&list=PLMlFKmL1Mgr0LW0Rl96YZIQsd2wVhr-8j&index=20
2	2014-04-19_sfoDF-at-seaRM	Official Statistics - 2014 - Week 2 - 4/19 - Dogfish @ Rainmakers	https://docs.google.com/spreadsheet/ccc?key=0AmKzogz7BRjsdEcxejdDSTR5eTBkZlUwQWw2NW9YWVE	http://www.youtube.com/watch?v=KOhJAkCftQM&feature=share&list=PLMlFKmL1Mgr2q65yoItaVj9rmFm3SGg5Y&index=21
3	2014-04-26_pdxST-at-sfoDF	Official Statistics - 2014 - Week 3 - 4/26 - Stags @ Dogfish	https://docs.google.com/spreadsheet/ccc?key=0Ap1DaI5MNU7jdFNmQ3BKcXc0TkdUZUZHa00ydUZYVVE	http://www.youtube.com/watch?v=RJiUzJfhinw&list=PLMlFKmL1Mgr1fI7572cnddZW4xKvthGkx&feature=share&index=15
4	2014-05-03_sfoDF-at-pdxST	Official Statistics - 2014 - Week 4 - 5/3 - Dogfish @ Stags	https://docs.google.com/spreadsheet/ccc?key=0Ap1DaI5MNU7jdFNmQ3BKcXc0TkdUZUZHa00ydUZYVVE	http://www.youtube.com/watch?v=3tCfEloQIps&list=PLMlFKmL1Mgr1xFNJo5_Rt7MvsSpRHFNVQ&feature=share&index=17
4	2014-05-04_sfoDF-at-seaRM	Official Statistics - 2014 - Week 4 - 5/4 - Dogfish @ Rainmakers	https://docs.google.com/spreadsheet/ccc?key=0Ap1DaI5MNU7jdDBPYjdKb241WW1TUkl3RVFxUkxEa3c	http://www.youtube.com/watch?v=iYDtsI8eOGc&feature=share&list=PLMlFKmL1Mgr1xFNJo5_Rt7MvsSpRHFNVQ&index=6
6	2014-05-17_seaRM-at-pdxST	Official Statistics - 2014 - Week 6 - 5/17 - Rainmakers @ Stags	https://docs.google.com/spreadsheet/ccc?key=0Ap1DaI5MNU7jdGtBOXZCMjFMLTdYV1pON2xMWXhadkE	http://www.youtube.com/watch?v=xjqbZlRc6JU&list=PLMlFKmL1Mgr1UtKIo09LqrdztX7B7Rz_g&feature=share
8	2014-05-31_sfoDF-at-pdxST	Official Statistics - 2014 - Week 8 - 5/31 - Dogfish @ Stags	https://docs.google.com/spreadsheet/ccc?key=0Ap1DaI5MNU7jdDlaNUYtRGZBVDV0LW9lUmt0ZGFkMWc	http://www.youtube.com/watch?v=IZLe9VorXlQ&feature=share&list=PLMlFKmL1Mgr3LUgbV6NjeTjDnMzvA4gqs&index=8
9	2014-06-07_pdxST-at-sfoDF	Official Statistics - 2014 - Week 9 - 6/7 - Stags @ Dogfish	https://docs.google.com/spreadsheet/ccc?key=0Ap1DaI5MNU7jdFR6MmI0anNjSTAxOHRzN2VIRXBBdlE	http://www.youtube.com/watch?v=pbGZGz5_YnU&list=PLMlFKmL1Mgr3dANyERUffj3J315T7GB5o&feature=share&index=13
10	2014-06-14_pdxST-at-seaRM	Official Statistics - 2014 - Week 10 - 6/14 - Stags @ Rainmakers	https://docs.google.com/spreadsheet/ccc?key=0Ap1DaI5MNU7jdDR2d2o2SnBWeWotRWI0VFNpU0JrVFE	http://www.youtube.com/watch?v=7IUSlkpT-a4&list=PLMlFKmL1Mgr37Qk_dVVvW7jLq9y4Qhv_K&feature=share&index=21
