game	poss_abs	poss_rel	point	beg_event	end_event	desc	n_inn	beg_code	beg_plyr	innards	end_code	end_plyr	wl	pclass
2014-04-12_nykRM-at-bosWC	37	5	16	20	21	ao	0	O-CTH	bosWC-12		O-CTH	bosWC-10	TRUE	compl
2014-04-12_nykRM-at-bosWC	37	5	16	21	22	ao	0	O-CTH	bosWC-10		O-CTH	bosWC-64	TRUE	compl
2014-04-12_nykRM-at-bosWC	37	5	16	22	23	ao	0	O-CTH	bosWC-64		O-TD	bosWC-29	TRUE	drop
2014-04-12_nykRM-at-bosWC	38	6	16	24	25	ao	0	O-PU	nykRM-4		O-G	nykRM-41	TRUE	compl
2014-04-12_nykRM-at-bosWC	39	1	17	2	3	ao	0	O-PU	bosWC-13		D-D	nykRM-22	TRUE	defd
2014-04-12_nykRM-at-bosWC	40	2	17	4	5	ao	0	O-PU	nykRM-18		O-CTH	nykRM-27	TRUE	compl
2014-04-12_nykRM-at-bosWC	40	2	17	5	6	ao	0	O-CTH	nykRM-27		O-CTH	nykRM-18	TRUE	compl
2014-04-12_nykRM-at-bosWC	40	2	17	6	7	ao	0	O-CTH	nykRM-18		O-CTH	nykRM-22	TRUE	compl
2014-04-12_nykRM-at-bosWC	40	2	17	7	8	ao	0	O-CTH	nykRM-22		O-CTH	nykRM-81	TRUE	compl
2014-04-12_nykRM-at-bosWC	40	2	17	8	9	ao	0	O-CTH	nykRM-81		O-CTH	nykRM-3	TRUE	compl
2014-04-12_nykRM-at-bosWC	40	2	17	9	10	ao	0	O-CTH	nykRM-3		O-CTH	nykRM-22	TRUE	compl
2014-04-12_nykRM-at-bosWC	40	2	17	10	11	ao	0	O-CTH	nykRM-22		O-G	nykRM-3	TRUE	compl
2014-04-12_nykRM-at-bosWC	41	1	18	2	3	ao	0	O-PU	bosWC-00		O-CTH	bosWC-13	TRUE	compl
2014-04-12_nykRM-at-bosWC	41	1	18	3	4	ao	0	O-CTH	bosWC-13		D-D	nykRM-13	TRUE	defd
2014-04-12_nykRM-at-bosWC	42	2	18	5	6	ao	0	O-PU	nykRM-15		O-CTH	nykRM-22	TRUE	compl
2014-04-12_nykRM-at-bosWC	42	2	18	6	7	ao	0	O-CTH	nykRM-22		O-CTH	nykRM-13	TRUE	compl
2014-04-12_nykRM-at-bosWC	42	2	18	7	8	ao	0	O-CTH	nykRM-13		D-D	bosWC-7	TRUE	defd
2014-04-12_nykRM-at-bosWC	43	3	18	9	9	an	-1	O-PU	bosWC-7		NA	bosWC-7	TRUE	taway
2014-04-12_nykRM-at-bosWC	44	4	18	10	11	ao	0	O-PU	nykRM-8		O-CTH	nykRM-8	TRUE	compl
2014-04-12_nykRM-at-bosWC	44	4	18	11	12	ao	0	O-CTH	nykRM-8		O-CTH	nykRM-15	TRUE	compl
2014-04-12_nykRM-at-bosWC	44	4	18	12	13	ao	0	O-CTH	nykRM-15		O-CTH	nykRM-8	TRUE	compl
2014-04-12_nykRM-at-bosWC	44	4	18	13	14	ao	0	O-CTH	nykRM-8		O-TO	nykRM-15	TRUE	compl
2014-04-12_nykRM-at-bosWC	44	4	18	15	16	ao	0	O-PU	nykRM-6		O-CTH	nykRM-44	TRUE	compl
2014-04-12_nykRM-at-bosWC	44	4	18	16	17	ao	0	O-CTH	nykRM-44		D-D	bosWC-18	TRUE	defd
2014-04-12_nykRM-at-bosWC	45	5	18	18	19	ao	0	O-CTH	bosWC-18		O-CTH	bosWC-11	TRUE	compl
2014-04-12_nykRM-at-bosWC	45	5	18	19	20	ao	0	O-CTH	bosWC-11		O-CTH	bosWC-8	TRUE	compl
2014-04-12_nykRM-at-bosWC	45	5	18	20	21	ao	0	O-CTH	bosWC-8		O-CTH	bosWC-18	TRUE	compl
2014-04-12_nykRM-at-bosWC	45	5	18	21	22	ao	0	O-CTH	bosWC-18		O-CTH	bosWC-11	TRUE	compl
2014-04-12_nykRM-at-bosWC	45	5	18	22	23	ao	0	O-CTH	bosWC-11		O-CTH	bosWC-18	TRUE	compl
2014-04-12_nykRM-at-bosWC	45	5	18	23	24	ao	0	O-CTH	bosWC-18		O-CTH	bosWC-25	TRUE	compl
2014-04-12_nykRM-at-bosWC	45	5	18	24	25	ao	0	O-CTH	bosWC-25		O-CTH	bosWC-8	TRUE	compl
2014-04-12_nykRM-at-bosWC	45	5	18	25	26	ao	0	O-CTH	bosWC-8		O-TO	bosWC-25	TRUE	compl
2014-04-12_nykRM-at-bosWC	45	5	18	27	28	ao	0	O-PU	bosWC-7		O-CTH	bosWC-13	TRUE	compl
2014-04-12_nykRM-at-bosWC	45	5	18	28	29	ao	0	O-CTH	bosWC-13		O-CTH	bosWC-00	TRUE	compl
2014-04-12_nykRM-at-bosWC	45	5	18	29	30	ao	0	O-CTH	bosWC-00		O-G	bosWC-35	TRUE	compl
2014-04-12_nykRM-at-bosWC	46	1	19	2	3	ao	0	O-PU	nykRM-4		O-CTH	nykRM-19	TRUE	compl
2014-04-12_nykRM-at-bosWC	46	1	19	3	4	ao	0	O-CTH	nykRM-19		O-CTH	nykRM-41	TRUE	compl
2014-04-12_nykRM-at-bosWC	46	1	19	4	5	ao	0	O-CTH	nykRM-41		D-D	bosWC-64	TRUE	defd
2014-04-12_nykRM-at-bosWC	47	2	19	6	6	an	-1	O-PU	bosWC-4		NA	bosWC-4	TRUE	taway
