game	point	period	clk_before	clk_after	pull_team	n_poss	scor_team	h_or_b	bosWC	nykRM	seaRM	sfoDF	pdxST	vanNH	phlSP	wdcCT
2014-04-12_vanNH-at-pdxST	26	2	0:45:00	0:16:00	vanNH	1	pdxST	hold	NA	NA	NA	NA	12	13	NA	NA
2014-04-12_vanNH-at-pdxST	27	2	0:16:00	0:00:00	pdxST	NA	NA	NA	NA	NA	NA	NA	12	13	NA	NA
2014-04-12_vanNH-at-pdxST	28	3	10:00:00	9:38:00	vanNH	1	pdxST	hold	NA	NA	NA	NA	13	13	NA	NA
2014-04-12_vanNH-at-pdxST	29	3	9:38:00	8:09:00	pdxST	4	pdxST	break	NA	NA	NA	NA	14	13	NA	NA
2014-04-12_vanNH-at-pdxST	30	3	8:09:00	6:22:00	pdxST	4	pdxST	break	NA	NA	NA	NA	15	13	NA	NA
2014-04-12_vanNH-at-pdxST	31	3	6:22:00	4:19:00	pdxST	2	pdxST	break	NA	NA	NA	NA	16	13	NA	NA
2014-04-12_vanNH-at-pdxST	32	3	4:19:00	2:45:00	pdxST	3	vanNH	hold	NA	NA	NA	NA	16	14	NA	NA
2014-04-12_vanNH-at-pdxST	33	3	2:45:00	2:22:00	vanNH	1	pdxST	hold	NA	NA	NA	NA	17	14	NA	NA
2014-04-12_vanNH-at-pdxST	34	3	2:22:00	1:17:00	pdxST	2	pdxST	break	NA	NA	NA	NA	18	14	NA	NA
2014-04-12_vanNH-at-pdxST	35	3	1:17:00	0:26:00	pdxST	3	vanNH	hold	NA	NA	NA	NA	18	15	NA	NA
2014-04-12_vanNH-at-pdxST	36	3	0:26:00	0:00:00	vanNH	NA	NA	NA	NA	NA	NA	NA	18	15	NA	NA
2014-04-12_vanNH-at-pdxST	37	4	10:00:00	9:21:00	pdxST	1	vanNH	hold	NA	NA	NA	NA	18	16	NA	NA
2014-04-12_vanNH-at-pdxST	38	4	9:21:00	7:52:00	vanNH	2	vanNH	break	NA	NA	NA	NA	18	17	NA	NA
2014-04-12_vanNH-at-pdxST	39	4	7:52:00	7:31:00	vanNH	1	pdxST	hold	NA	NA	NA	NA	19	17	NA	NA
2014-04-12_vanNH-at-pdxST	40	4	7:31:00	7:11:00	pdxST	1	vanNH	hold	NA	NA	NA	NA	19	18	NA	NA
2014-04-12_vanNH-at-pdxST	41	4	7:11:00	5:05:00	vanNH	1	pdxST	hold	NA	NA	NA	NA	20	18	NA	NA
2014-04-12_vanNH-at-pdxST	42	4	5:05:00	4:53:00	pdxST	1	vanNH	hold	NA	NA	NA	NA	20	19	NA	NA
2014-04-12_vanNH-at-pdxST	43	4	4:53:00	2:28:00	vanNH	5	pdxST	hold	NA	NA	NA	NA	21	19	NA	NA
2014-04-12_vanNH-at-pdxST	44	4	2:28:00	2:03:00	pdxST	1	vanNH	hold	NA	NA	NA	NA	21	20	NA	NA
2014-04-12_vanNH-at-pdxST	45	4	2:03:00	0:37:00	vanNH	1	pdxST	hold	NA	NA	NA	NA	22	20	NA	NA
2014-04-12_vanNH-at-pdxST	46	4	0:37:00	0:19:00	pdxST	1	vanNH	hold	NA	NA	NA	NA	22	21	NA	NA
2014-04-12_vanNH-at-pdxST	47	4	0:19:00	0:00:00	vanNH	1	pdxST	hold	NA	NA	NA	NA	23	21	NA	NA
2014-04-12_wdcCT-at-phlSP	1	1	10:00:00	8:50:00	wdcCT	2	wdcCT	break	NA	NA	NA	NA	NA	NA	0	1
2014-04-12_wdcCT-at-phlSP	2	1	8:50:00	7:02:00	wdcCT	2	wdcCT	break	NA	NA	NA	NA	NA	NA	0	2
2014-04-12_wdcCT-at-phlSP	3	1	7:02:00	5:18:00	wdcCT	5	phlSP	hold	NA	NA	NA	NA	NA	NA	1	2
2014-04-12_wdcCT-at-phlSP	4	1	5:18:00	3:12:00	phlSP	4	phlSP	break	NA	NA	NA	NA	NA	NA	2	2
2014-04-12_wdcCT-at-phlSP	5	1	3:12:00	2:45:00	phlSP	1	wdcCT	hold	NA	NA	NA	NA	NA	NA	2	3
2014-04-12_wdcCT-at-phlSP	6	1	2:45:00	1:08:00	wdcCT	4	wdcCT	break	NA	NA	NA	NA	NA	NA	2	4
2014-04-12_wdcCT-at-phlSP	7	1	1:08:00	0:42:00	wdcCT	1	phlSP	hold	NA	NA	NA	NA	NA	NA	3	4
2014-04-12_wdcCT-at-phlSP	8	1	0:42:00	0:00:00	phlSP	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	4
2014-04-12_wdcCT-at-phlSP	9	2	10:00:00	9:45:00	phlSP	1	wdcCT	hold	NA	NA	NA	NA	NA	NA	3	5
2014-04-12_wdcCT-at-phlSP	10	2	9:45:00	8:52:00	wdcCT	1	phlSP	hold	NA	NA	NA	NA	NA	NA	4	5
2014-04-12_wdcCT-at-phlSP	11	2	8:53:00	8:30:00	phlSP	1	wdcCT	hold	NA	NA	NA	NA	NA	NA	4	6
2014-04-12_wdcCT-at-phlSP	12	2	8:30:00	8:17:00	wdcCT	1	phlSP	hold	NA	NA	NA	NA	NA	NA	5	6
2014-04-12_wdcCT-at-phlSP	13	2	8:17:00	7:35:00	phlSP	3	wdcCT	hold	NA	NA	NA	NA	NA	NA	5	7
2014-04-12_wdcCT-at-phlSP	14	2	7:35:00	6:43:00	wdcCT	1	phlSP	hold	NA	NA	NA	NA	NA	NA	6	7
2014-04-12_wdcCT-at-phlSP	15	2	6:43:00	6:07:00	phlSP	2	phlSP	break	NA	NA	NA	NA	NA	NA	7	7
2014-04-12_wdcCT-at-phlSP	16	2	6:07:00	5:52:00	phlSP	1	wdcCT	hold	NA	NA	NA	NA	NA	NA	7	8
2014-04-12_wdcCT-at-phlSP	17	2	5:52:00	4:21:00	wdcCT	5	phlSP	hold	NA	NA	NA	NA	NA	NA	8	8
2014-04-12_wdcCT-at-phlSP	18	2	4:21:00	3:52:00	phlSP	1	wdcCT	hold	NA	NA	NA	NA	NA	NA	8	9
2014-04-12_wdcCT-at-phlSP	19	2	3:52:00	0:00:00	wdcCT	NA	NA	NA	NA	NA	NA	NA	NA	NA	8	9
2014-04-12_wdcCT-at-phlSP	20	3	10:00:00	9:09:00	wdcCT	2	wdcCT	break	NA	NA	NA	NA	NA	NA	8	10
2014-04-12_wdcCT-at-phlSP	21	3	9:09:00	8:20:00	wdcCT	2	wdcCT	break	NA	NA	NA	NA	NA	NA	8	11
2014-04-12_wdcCT-at-phlSP	22	3	8:20:00	7:56:00	wdcCT	1	phlSP	hold	NA	NA	NA	NA	NA	NA	9	11
2014-04-12_wdcCT-at-phlSP	23	3	7:56:00	6:36:00	phlSP	3	wdcCT	hold	NA	NA	NA	NA	NA	NA	9	12
2014-04-12_wdcCT-at-phlSP	24	3	6:36:00	2:02:00	wdcCT	6	wdcCT	break	NA	NA	NA	NA	NA	NA	9	13
2014-04-12_wdcCT-at-phlSP	25	3	2:02:00	1:06:00	wdcCT	1	phlSP	hold	NA	NA	NA	NA	NA	NA	10	13
2014-04-12_wdcCT-at-phlSP	26	3	1:06:00	0:40:00	phlSP	1	wdcCT	hold	NA	NA	NA	NA	NA	NA	10	14
2014-04-12_wdcCT-at-phlSP	27	3	0:40:00	0:00:00	wdcCT	NA	NA	NA	NA	NA	NA	NA	NA	NA	10	14
2014-04-12_wdcCT-at-phlSP	28	4	10:00:00	9:24:00	phlSP	1	wdcCT	hold	NA	NA	NA	NA	NA	NA	10	15
2014-04-12_wdcCT-at-phlSP	29	4	9:24:00	8:49:00	wdcCT	1	phlSP	hold	NA	NA	NA	NA	NA	NA	11	15
2014-04-12_wdcCT-at-phlSP	30	4	8:49:00	8:18:00	phlSP	1	wdcCT	hold	NA	NA	NA	NA	NA	NA	11	16
2014-04-12_wdcCT-at-phlSP	31	4	8:18:00	7:37:00	wdcCT	1	phlSP	hold	NA	NA	NA	NA	NA	NA	12	16
2014-04-12_wdcCT-at-phlSP	32	4	7:37:00	6:57:00	phlSP	2	phlSP	break	NA	NA	NA	NA	NA	NA	13	16
2014-04-12_wdcCT-at-phlSP	33	4	6:57:00	6:20:00	phlSP	1	wdcCT	hold	NA	NA	NA	NA	NA	NA	13	17
2014-04-12_wdcCT-at-phlSP	34	4	6:20:00	5:58:00	wdcCT	1	phlSP	hold	NA	NA	NA	NA	NA	NA	14	17
2014-04-12_wdcCT-at-phlSP	35	4	5:58:00	5:32:00	phlSP	2	phlSP	break	NA	NA	NA	NA	NA	NA	15	17
2014-04-12_wdcCT-at-phlSP	36	4	5:32:00	4:42:00	phlSP	3	wdcCT	hold	NA	NA	NA	NA	NA	NA	15	18
2014-04-12_wdcCT-at-phlSP	37	4	4:42:00	4:23:00	wdcCT	1	phlSP	hold	NA	NA	NA	NA	NA	NA	16	18
2014-04-12_wdcCT-at-phlSP	38	4	4:23:00	3:07:00	phlSP	4	phlSP	break	NA	NA	NA	NA	NA	NA	17	18
2014-04-12_wdcCT-at-phlSP	39	4	3:07:00	2:28:00	phlSP	1	wdcCT	hold	NA	NA	NA	NA	NA	NA	17	19
2014-04-12_wdcCT-at-phlSP	40	4	2:28:00	1:35:00	wdcCT	1	phlSP	hold	NA	NA	NA	NA	NA	NA	18	19
2014-04-12_wdcCT-at-phlSP	41	4	1:35:00	0:13:00	phlSP	3	wdcCT	hold	NA	NA	NA	NA	NA	NA	18	20
2014-04-12_wdcCT-at-phlSP	42	4	0:13:00	0:00:00	wdcCT	2	wdcCT	break	NA	NA	NA	NA	NA	NA	18	21
2014-04-19_bosWC-at-wdcCT	1	1	10:00:00	8:45:00	wdcCT	1	bosWC	hold	1	NA	NA	NA	NA	NA	NA	0
2014-04-19_bosWC-at-wdcCT	2	1	8:45:00	8:17:00	bosWC	1	wdcCT	hold	1	NA	NA	NA	NA	NA	NA	1
2014-04-19_bosWC-at-wdcCT	3	1	8:17:00	8:02:00	wdcCT	1	bosWC	hold	2	NA	NA	NA	NA	NA	NA	1
2014-04-19_bosWC-at-wdcCT	4	1	8:02:00	7:29:00	bosWC	1	wdcCT	hold	2	NA	NA	NA	NA	NA	NA	2
2014-04-19_bosWC-at-wdcCT	5	1	7:29:00	6:44:00	wdcCT	1	bosWC	hold	3	NA	NA	NA	NA	NA	NA	2
2014-04-19_bosWC-at-wdcCT	6	1	6:44:00	4:39:00	bosWC	3	wdcCT	hold	3	NA	NA	NA	NA	NA	NA	3
2014-04-19_bosWC-at-wdcCT	7	1	4:39:00	4:05:00	wdcCT	1	bosWC	hold	4	NA	NA	NA	NA	NA	NA	3
2014-04-19_bosWC-at-wdcCT	8	1	4:05:00	3:46:00	bosWC	1	wdcCT	hold	4	NA	NA	NA	NA	NA	NA	4
2014-04-19_bosWC-at-wdcCT	9	1	3:46:00	2:25:00	wdcCT	2	wdcCT	break	4	NA	NA	NA	NA	NA	NA	5
2014-04-19_bosWC-at-wdcCT	10	1	2:25:00	1:26:00	wdcCT	3	bosWC	hold	5	NA	NA	NA	NA	NA	NA	5
2014-04-19_bosWC-at-wdcCT	11	1	1:26:00	0:42:00	bosWC	1	wdcCT	hold	5	NA	NA	NA	NA	NA	NA	6
2014-04-19_bosWC-at-wdcCT	12	1	0:42:00	0:00:00	wdcCT	1	bosWC	hold	6	NA	NA	NA	NA	NA	NA	6
2014-04-19_bosWC-at-wdcCT	13	2	10:00:00	7:28:00	bosWC	3	wdcCT	hold	6	NA	NA	NA	NA	NA	NA	7
2014-04-19_bosWC-at-wdcCT	14	2	7:28:00	7:07:00	wdcCT	1	bosWC	hold	7	NA	NA	NA	NA	NA	NA	7
2014-04-19_bosWC-at-wdcCT	15	2	7:07:00	5:54:00	bosWC	3	wdcCT	hold	7	NA	NA	NA	NA	NA	NA	8
2014-04-19_bosWC-at-wdcCT	16	2	5:54:00	4:25:00	wdcCT	4	wdcCT	break	7	NA	NA	NA	NA	NA	NA	9
2014-04-19_bosWC-at-wdcCT	17	2	4:25:00	3:26:00	wdcCT	3	bosWC	hold	8	NA	NA	NA	NA	NA	NA	9
2014-04-19_bosWC-at-wdcCT	18	2	3:26:00	1:35:00	bosWC	2	bosWC	break	9	NA	NA	NA	NA	NA	NA	9
2014-04-19_bosWC-at-wdcCT	19	2	1:35:00	0:00:00	bosWC	NA	NA	NA	9	NA	NA	NA	NA	NA	NA	9
2014-04-19_bosWC-at-wdcCT	20	3	10:00:00	9:11:00	wdcCT	1	bosWC	hold	10	NA	NA	NA	NA	NA	NA	9
2014-04-19_bosWC-at-wdcCT	21	3	9:11:00	8:43:00	bosWC	2	bosWC	break	11	NA	NA	NA	NA	NA	NA	9
2014-04-19_bosWC-at-wdcCT	22	3	8:43:00	8:24:00	bosWC	1	wdcCT	hold	11	NA	NA	NA	NA	NA	NA	10
2014-04-19_bosWC-at-wdcCT	23	3	8:24:00	7:52:00	wdcCT	1	bosWC	hold	12	NA	NA	NA	NA	NA	NA	10
2014-04-19_bosWC-at-wdcCT	24	3	7:52:00	7:23:00	bosWC	1	wdcCT	hold	12	NA	NA	NA	NA	NA	NA	11
2014-04-19_bosWC-at-wdcCT	25	3	7:23:00	5:40:00	wdcCT	5	bosWC	hold	13	NA	NA	NA	NA	NA	NA	11
2014-04-19_bosWC-at-wdcCT	26	3	5:40:00	5:09:00	bosWC	1	wdcCT	hold	13	NA	NA	NA	NA	NA	NA	12
