point	event	pull_pnum	pull_code	recv_pnum	recv_code
11	11			49	
11	12			98	
11	13	7	D		
11	14			14	
11	15	7	PU		
11	16			98	D
11	17			98	PU
11	18			78	
11	19			98	
11	20			49	
11	21	14	D		
11	22			14	
12	1	44	P		
12	2			12	PU
12	3			47	
12	4	14	D		
12	5			8	
12	6	14	PU		
12	7			98	D
12	8			12	PU
12	9			47	
12	10			8	
12	11			14	
12	12			98	
12	13			12	
12	14			8	G
13	1	41	P		
13	2			27	PU
13	3			6	
13	4			24	
13	5			16	
13	6			60	
13	7			1	G
14	1	90	P		
14	2			12	PU
14	3			47	
14	4			12	
14	5			8	
14	6			13	
14	7			47	
14	8			98	
14	9			47	
14	10			13	
14	11			78	G
15	1	41	P		
15	2			1	PU
15	3			3	
15	4			24	
15	5			1	
15	6			3	G
16	1	42	P		
16	2			47	PU
16	3			12	
16	4			8	
16	5			98	
16	6			13	
16	7			8	
16	8			98	
16	9			78	
16	10			8	
16	11			14	
16	12			47	
16	13			12	
16	14			98	
16	15			12	
16	16			8	
16	17			12	
16	18			8	
16	19			98	G
17	1	45	P		
17	2			1	PU
17	3	8	D		
17	4			6	
17	5	45	PU		
17	6	41			
17	7			3	D
17	8			3	PU
17	9			1	G
18	1	98	P		
18	2			47	PU
18	3			12	
18	4			47	
18	5			13	TD
18	6	29	PU		
18	7	?			
18	8	18	G		
19	1	42	P		
19	2			47	PU
19	3			12	
19	4	29	F		
19	5			98	
19	6			8	
19	7			17	
19	8			12	
19	9	19	D		
19	10			17	
19	11	7	PU		
19	12	29			
19	13	19			
19	14	7			
19	15	42			
19	16	44	G		
20	1	6	P		
20	2			12	PU
20	3			47	
20	4			13	
20	5			78	
20	6			6	
20	7			45	G
21	1	8	P		
21	2			27	PU
21	3			24	
21	4			1	
21	5			27	
21	6			97	G
22	1	42	P		
22	2			12	PU
22	3			14	
22	4			47	
22	5			78	
22	6			14	
22	7			13	G
23	1	8	P		
23	2			27	PU
23	3			6	
23	4			16	
23	5			60	
23	6	?	F		
23	7			6	
23	8			60	
23	9			6	
23	10			1	
23	11			27	G
24	1	98	P		
24	2			45	PU
24	3			47	
24	4	22	D		
24	5			13	
24	6	29	PU		
24	7	22	G		
25	1	42	P		
25	2			47	PU
25	3			12	
25	4	14	PU		
25	5	42			
25	6	31			
25	7	18			
25	8	14			
25	9	?			
25	10	42			
25	11	44	G		
26	1	98	P		
26	2			90	PU
26	3			1	
26	4			78	
26	5			90	
26	6			11	
26	7			1	
26	8			78	
26	9			66	
26	10			46	TD
26	11	7	PU		
26	12	29			
26	13	22			
26	14			90	PU
26	15			8	
26	16			1	
26	17			8	
26	18			1	
26	19			8	
26	20			66	
26	21			11	
26	22			90	
26	23			11	
26	24			1	
27	1	8	P		
27	2			27	PU
27	3			16	
27	4			1	
27	5			6	
27	6			1	
27	7			27	
27	8			1	
27	9			16	
27	10			3	G
28	1	98	P		
28	2			47	PU
28	3			12	
28	4	?	F		
28	5			98	
28	6			12	
28	7			14	
28	8			78	
28	9			12	
28	10			8	G
29	1	8	P		
29	2			6	PU
29	3	17	D		
29	4	17			
29	5	45			
29	6	8	TO		
29	7	12	PU		
29	8	8			
29	9	17			
29	10	45			
29	11	47			
29	12			44	D
29	13			44	PU
29	14	8	PU		
29	15	11	G		
30	1	8	P		
30	2			1	PU
30	3			6	
30	4			24	
30	5			3	
30	6			16	
30	7			3	G
31	1	98	P		
31	2			12	PU
31	3			47	
31	4			8	
31	5			98	
31	6	29	PU		
31	7	14			
31	8	29			
31	9	14			
31	10	29			
31	11	17			
31	12	4			
31	13	0			
31	14	29			
31	15			8	D
31	16			41	
31	17			78	
31	18			13	
31	19	29	D		
31	20	31	PU		
31	21	14			
31	22	?			
31	23	29			
31	24	18			
31	25			8	F
31	26	14	G		
32	1	42	P		
32	2			47	PU
32	3			45	
32	4			47	
32	5			6	
32	6			45	
32	7			8	
32	8			45	
32	9			14	
32	10			45	
32	11	14	D		
32	12	19			
32	13	44			
32	14	19			
32	15	14			
32	16			1	PU
32	17			47	
32	18			6	
32	19			14	
32	20			1	
32	21			8	
32	22			17	
32	23			6	
32	24			8	
32	25			45	
32	26			47	
32	27			45	
32	28	14	PU		
32	29	44			
32	30			45	F
32	31	44	SO		
32	32	16	SI		
32	33	16	PU		
32	34	14			
32	35	16			
32	36	14			
32	37	31			
32	38	42			
32	39	7			
32	40	22	G		
33	1	98	P		
33	2			49	PU
33	3			12	
33	4			66	
33	5			49	
33	6			78	
33	7			66	
33	8			98	
33	9			41	G
34	1	8	P		
34	2			27	PU
34	3	6	D		
34	4	1			
34	5	25	G		
35	1	8	P		
35	2			0	PU
35	3			6	
35	4			0	
35	5			6	
35	6			1	
35	7			6	
35	8			1	
35	9			6	
35	10			1	
35	11			0	
35	12			6	
35	13			16	
35	14			6	
35	15			16	
35	16			24	
35	17			0	
35	18			6	
35	19			0	
35	20			3	
35	21			24	
35	22			16	
35	23			60	G
36	1	42	P		
36	2			47	PU
36	3			12	
36	4			8	
36	5			13	
36	6			78	
36	7			47	
36	8			12	
36	9			98	G
37	1	8	P		
37	2			1	PU
37	3			6	
37	4			60	
37	5			3	
37	6			6	
37	7	45	D		
37	8	11	PU		
37	9	13			
37	10	14			
37	11	8	G		
38	1	41	P		
38	2			1	PU
38	3			27	
38	4			3	
38	5			51	
38	6			24	
38	7			3	
38	8	8	D		
39	1	98	P		
39	2			47	PU
39	3			12	
39	4			49	
39	5			8	
39	6			49	
39	7			14	
39	8			47	
39	9			8	
39	10			47	
39	11			98	
39	12			47	
39	13			49	
39	14			13	
39	15			8	
39	16			98	
39	17			14	G
40	1	45	P		
40	2			1	PU
40	3			6	
40	4			27	
40	5			6	
40	6			3	
40	7			16	
40	8			24	
40	9			27	
40	10			16	G
41	1	42	P		
41	2			12	PU
41	3			47	
41	4			12	
41	5			49	
41	6	42	D		
41	7	29			
41	8	18			
41	9	29			
41	10	18			
41	11	42			
41	12	7			
41	13	29			
41	14	14			
41	15	42			
41	16	22			
41	17	44	G		
42	1	98	P		
42	2			12	PU
42	3			1	
