point	pullTeam	recvTeam	event	pullNum	pullCode	recvNum	recvCode	scorTeam
31	seaRM	vanNH	8	15				vanNH
31	seaRM	vanNH	9	21				vanNH
31	seaRM	vanNH	10	15				vanNH
31	seaRM	vanNH	11	29				vanNH
31	seaRM	vanNH	12	18	TO			vanNH
31	seaRM	vanNH	13	20	PU			vanNH
31	seaRM	vanNH	14	1				vanNH
31	seaRM	vanNH	15	17				vanNH
31	seaRM	vanNH	16	99				vanNH
31	seaRM	vanNH	17			81	F	vanNH
31	seaRM	vanNH	18	17	VTT			vanNH
31	seaRM	vanNH	19			45	PU	vanNH
31	seaRM	vanNH	20			81		vanNH
31	seaRM	vanNH	21			8	A	vanNH
31	seaRM	vanNH	22			4	G	vanNH
32	vanNH	seaRM	1	33	P			seaRM
32	vanNH	seaRM	2			17		seaRM
32	vanNH	seaRM	3			20	A	seaRM
32	vanNH	seaRM	4			48	G	seaRM
33	seaRM	vanNH	1	29	P			vanNH
33	seaRM	vanNH	2			5		vanNH
33	seaRM	vanNH	3			19		vanNH
33	seaRM	vanNH	4			5		vanNH
33	seaRM	vanNH	5			22		vanNH
33	seaRM	vanNH	6			19		vanNH
33	seaRM	vanNH	7			5		vanNH
33	seaRM	vanNH	8			98		vanNH
33	seaRM	vanNH	9			5		vanNH
33	seaRM	vanNH	10			19		vanNH
33	seaRM	vanNH	11			5	A	vanNH
33	seaRM	vanNH	12			22	LG	vanNH
34	vanNH	seaRM	1	81	P			seaRM
34	vanNH	seaRM	2			17		seaRM
34	vanNH	seaRM	3			25		seaRM
34	vanNH	seaRM	4			17		seaRM
34	vanNH	seaRM	5			1		seaRM
34	vanNH	seaRM	6			48		seaRM
34	vanNH	seaRM	7			1	A	seaRM
34	vanNH	seaRM	8			99	LG	seaRM
35	seaRM	vanNH	1	29	P			vanNH
35	seaRM	vanNH	2			89		vanNH
35	seaRM	vanNH	3			5		vanNH
35	seaRM	vanNH	4			21		vanNH
35	seaRM	vanNH	5			72	A	vanNH
35	seaRM	vanNH	6			98	LG	vanNH
36	vanNH	seaRM	1	81	P			vanNH
36	vanNH	seaRM	2			1		vanNH
36	vanNH	seaRM	3			20		vanNH
36	vanNH	seaRM	4			17		vanNH
36	vanNH	seaRM	5			25		vanNH
36	vanNH	seaRM	6			8		vanNH
36	vanNH	seaRM	7			1	TD	vanNH
36	vanNH	seaRM	8	45	PU			vanNH
36	vanNH	seaRM	9	31	LA			vanNH
36	vanNH	seaRM	10	4	G			vanNH
37	vanNH	seaRM	1	33	P			vanNH
37	vanNH	seaRM	2			25		vanNH
37	vanNH	seaRM	3			1		vanNH
37	vanNH	seaRM	4			17		vanNH
37	vanNH	seaRM	5			48		vanNH
37	vanNH	seaRM	6	14	HB			vanNH
37	vanNH	seaRM	7	33	PU			vanNH
37	vanNH	seaRM	8	18				vanNH
37	vanNH	seaRM	9			25	F	vanNH
37	vanNH	seaRM	10	75	TO			vanNH
37	vanNH	seaRM	11	19	PU			vanNH
37	vanNH	seaRM	12	89				vanNH
37	vanNH	seaRM	13	21	A			vanNH
37	vanNH	seaRM	14	10	G			vanNH
38	vanNH	seaRM	1	81	P			vanNH
38	vanNH	seaRM	2			1	PU	vanNH
38	vanNH	seaRM	3			17		vanNH
38	vanNH	seaRM	4			20		vanNH
38	vanNH	seaRM	5			17		vanNH
38	vanNH	seaRM	6	24	D			vanNH
38	vanNH	seaRM	7	8	PU			vanNH
38	vanNH	seaRM	8	45				vanNH
38	vanNH	seaRM	9	8				vanNH
38	vanNH	seaRM	10	45				vanNH
38	vanNH	seaRM	11	8	A			vanNH
38	vanNH	seaRM	12	27	G			vanNH
39	vanNH	seaRM	1	33	P			vanNH
39	vanNH	seaRM	2			1		vanNH
39	vanNH	seaRM	3			29		vanNH
39	vanNH	seaRM	4			18		vanNH
39	vanNH	seaRM	5			29		vanNH
39	vanNH	seaRM	6	18	F			vanNH
39	vanNH	seaRM	7			20	VST	vanNH
39	vanNH	seaRM	8	33	PU			vanNH
39	vanNH	seaRM	9	14				vanNH
39	vanNH	seaRM	10	18				vanNH
39	vanNH	seaRM	11	33				vanNH
39	vanNH	seaRM	12	13	TD			vanNH
39	vanNH	seaRM	13			20	PU	vanNH
39	vanNH	seaRM	14			1		vanNH
39	vanNH	seaRM	15			99		vanNH
39	vanNH	seaRM	16			1		vanNH
39	vanNH	seaRM	17			20		vanNH
39	vanNH	seaRM	18			29		vanNH
39	vanNH	seaRM	19			1		vanNH
39	vanNH	seaRM	20			18		vanNH
39	vanNH	seaRM	21			29	TD	vanNH
39	vanNH	seaRM	22	18	PU			vanNH
39	vanNH	seaRM	23			20	D	vanNH
39	vanNH	seaRM	24			20	TO	vanNH
39	vanNH	seaRM	25			20	PU	vanNH
39	vanNH	seaRM	26	98	PUA			vanNH
39	vanNH	seaRM	27	72	G			vanNH
40	vanNH	seaRM	1	81	P			seaRM
40	vanNH	seaRM	2			1		seaRM
40	vanNH	seaRM	3			20		seaRM
40	vanNH	seaRM	4			1		seaRM
40	vanNH	seaRM	5			20		seaRM
40	vanNH	seaRM	6			17		seaRM
40	vanNH	seaRM	7			6		seaRM
40	vanNH	seaRM	8			51		seaRM
40	vanNH	seaRM	9	81	F			seaRM
40	vanNH	seaRM	10			20	A	seaRM
40	vanNH	seaRM	11			51	LG	seaRM
41	seaRM	vanNH	1	4	P			seaRM
41	seaRM	vanNH	2			5		seaRM
41	seaRM	vanNH	3			91		seaRM
41	seaRM	vanNH	4			5		seaRM
41	seaRM	vanNH	5			22		seaRM
41	seaRM	vanNH	6			10		seaRM
41	seaRM	vanNH	7			19		seaRM
41	seaRM	vanNH	8			22		seaRM
41	seaRM	vanNH	9			21		seaRM
41	seaRM	vanNH	10			91		seaRM
41	seaRM	vanNH	11	29	PU			seaRM
41	seaRM	vanNH	12			21	F	seaRM
41	seaRM	vanNH	13	51	SO			seaRM
41	seaRM	vanNH	14			21	SO	seaRM
41	seaRM	vanNH	15	20	SI			seaRM
41	seaRM	vanNH	16			8	SI	seaRM
41	seaRM	vanNH	17	4	PU			seaRM
41	seaRM	vanNH	18	29				seaRM
41	seaRM	vanNH	19	23				seaRM
