game	period	point	pull_team	poss_abs	poss_rel	event	poss_team	pl_team	pl_pnum	pl_code
2014-04-12_vanNH-at-pdxST	1	9	pdxST	12	1	1	vanNH	pdxST	88	P
2014-04-12_vanNH-at-pdxST	1	9	pdxST	12	1	2	vanNH	vanNH	5	PU
2014-04-12_vanNH-at-pdxST	1	9	pdxST	12	1	3	vanNH	vanNH	91	
2014-04-12_vanNH-at-pdxST	1	9	pdxST	12	1	4	vanNH	vanNH	89	
2014-04-12_vanNH-at-pdxST	1	9	pdxST	12	1	5	vanNH	vanNH	22	A
2014-04-12_vanNH-at-pdxST	1	9	pdxST	12	1	6	vanNH	pdxST	3	F
2014-04-12_vanNH-at-pdxST	1	9	pdxST	12	1	7	vanNH	vanNH	21	G
2014-04-12_vanNH-at-pdxST	1	10	vanNH	13	1	1	pdxST	vanNH	8	P
2014-04-12_vanNH-at-pdxST	1	10	vanNH	13	1	2	pdxST	pdxST	24	PU
2014-04-12_vanNH-at-pdxST	1	10	vanNH	13	1	3	pdxST	pdxST	11	
2014-04-12_vanNH-at-pdxST	1	10	vanNH	13	1	4	pdxST	pdxST	24	
2014-04-12_vanNH-at-pdxST	1	10	vanNH	13	1	5	pdxST	pdxST	42	
2014-04-12_vanNH-at-pdxST	1	10	vanNH	13	1	6	pdxST	pdxST	13	L
2014-04-12_vanNH-at-pdxST	1	10	vanNH	13	1	7	pdxST	pdxST	16	A
2014-04-12_vanNH-at-pdxST	1	10	vanNH	13	1	8	pdxST	pdxST	13	G
2014-04-12_vanNH-at-pdxST	1	11	pdxST	14	1	1	vanNH	pdxST	88	P
2014-04-12_vanNH-at-pdxST	1	11	pdxST	14	1	2	vanNH	vanNH	91	PU
2014-04-12_vanNH-at-pdxST	1	11	pdxST	14	1	3	vanNH	vanNH	89	
2014-04-12_vanNH-at-pdxST	1	11	pdxST	14	1	4	vanNH	vanNH	5	
2014-04-12_vanNH-at-pdxST	1	11	pdxST	14	1	5	vanNH	vanNH	98	
2014-04-12_vanNH-at-pdxST	1	11	pdxST	14	1	6	vanNH	vanNH	5	
2014-04-12_vanNH-at-pdxST	1	11	pdxST	14	1	7	vanNH	vanNH	89	
2014-04-12_vanNH-at-pdxST	1	11	pdxST	14	1	8	vanNH	vanNH	91	
2014-04-12_vanNH-at-pdxST	1	11	pdxST	14	1	9	vanNH	vanNH	98	
2014-04-12_vanNH-at-pdxST	1	11	pdxST	14	1	10	vanNH	vanNH	91	A
2014-04-12_vanNH-at-pdxST	1	11	pdxST	14	1	11	vanNH	vanNH	22	G
2014-04-12_vanNH-at-pdxST	1	12	vanNH	15	1	1	pdxST	vanNH	33	P
2014-04-12_vanNH-at-pdxST	1	12	vanNH	15	1	2	pdxST	pdxST	24	PU
2014-04-12_vanNH-at-pdxST	1	12	vanNH	15	1	3	pdxST	pdxST	73	
2014-04-12_vanNH-at-pdxST	1	12	vanNH	15	1	4	pdxST	pdxST	24	
2014-04-12_vanNH-at-pdxST	1	12	vanNH	15	1	5	pdxST	pdxST	16	
