poss_abs	poss_rel	point	beg_event	end_event	desc	n_inn	beg_code	beg_plyr	innards	end_code	end_plyr	wl	pclass
5	2	4	12	13	ao	0	O-CTH	seaRM-29		O-CTH	seaRM-12	TRUE	compl
5	2	4	13	14	ao	0	O-CTH	seaRM-12		O-TD	seaRM-23	TRUE	drop
6	3	4	15	15	an	-1	O-PU	sfoDF-83		NA	sfoDF-83	TRUE	taway
7	4	4	16	17	ao	0	O-PU	seaRM-13		O-CTH	seaRM-21	TRUE	compl
7	4	4	17	18	ao	0	O-CTH	seaRM-21		O-G	seaRM-24	TRUE	compl
8	1	5	2	3	ao	0	O-PU	sfoDF-1		O-CTH	sfoDF-46	TRUE	compl
8	1	5	3	4	ao	0	O-CTH	sfoDF-46		O-CTH	sfoDF-1	TRUE	compl
8	1	5	4	5	ao	0	O-CTH	sfoDF-1		O-CTH	sfoDF-46	TRUE	compl
8	1	5	5	6	ao	0	O-CTH	sfoDF-46		O-CTH	sfoDF-85	TRUE	compl
8	1	5	6	7	ao	0	O-CTH	sfoDF-85		O-CTH	sfoDF-16	TRUE	compl
8	1	5	7	8	ao	0	O-CTH	sfoDF-16		O-TO	sfoDF-1	TRUE	compl
8	1	5	9	10	ao	0	O-PU	sfoDF-1		O-CTH	sfoDF-16	TRUE	compl
8	1	5	10	11	ao	0	O-CTH	sfoDF-16		O-CTH	sfoDF-1	TRUE	compl
8	1	5	11	12	ao	0	O-CTH	sfoDF-1		O-TD	sfoDF-85	TRUE	drop
9	2	5	13	14	ao	0	O-PU	seaRM-29		O-CTH	seaRM-15	TRUE	compl
9	2	5	14	15	ao	0	O-CTH	seaRM-15		O-CTH	seaRM-27	TRUE	compl
9	2	5	15	16	ao	0	O-CTH	seaRM-27		O-CTH	seaRM-29	TRUE	compl
9	2	5	16	17	ao	0	O-CTH	seaRM-29		O-CTH	seaRM-12	TRUE	compl
9	2	5	17	18	ao	0	O-CTH	seaRM-12		D-D	sfoDF-1	TRUE	defd
10	3	5	19	20	ao	0	O-PU	sfoDF-1		O-TD	sfoDF-85	TRUE	drop
