point	event	pull_pnum	pull_code	recv_pnum	recv_code
32	9			8	
32	10			72	G
33	1	8	P		
33	2			3	PU
33	3			17	
33	4			48	G
34	1	35	P		
34	2			91	PU
34	3			22	
34	4			89	
34	5			13	
34	6			5	G
35	1	33	P		
35	2			3	PU
35	3			5	
35	4			6	
35	5			3	
35	6			25	
35	7			17	
35	8			3	
35	9			5	
35	10			20	
35	11	18	PU		
35	12	45			
35	13	75			
35	14	8			
35	15	18			
35	16	27	TD		
35	17			3	PU
35	18			20	
35	19			25	
35	20			5	
35	21			3	
35	22	18	PU		
35	23	45			
35	24	8			
35	25	33			
35	26			3	D
35	27			20	TO
35	28			3	PU
35	29			17	
35	30			6	
35	31			17	
35	32			5	
35	33	8	PU		
35	34	18			
35	35	31			
35	36	81			
35	37	8			
35	38	75			
35	39	81			
35	40			99	D
35	41			3	PU
35	42			99	LG
36	1	35	P		
36	2			5	PU
36	3			91	
36	4			22	
36	5	35	PU		
36	6	29			
36	7	35			
36	8	29			
36	9	35			
36	10			21	F
36	11	29			
36	12	21			
36	13			5	F
36	14	29			
36	15	21			
36	16	28			
36	17	23			
36	18	29			
36	19	28			
36	20	29			
36	21	21			
36	22	13			
36	23	29			
36	24	9	G		
37	1	10	P		
37	2			89	PU
37	3			91	
37	4			5	
37	5			18	TD
37	6	10	PU		
37	7	00			
37	8	4			
37	9	23	G		
38	1	4	P		
38	2			33	PU
38	3			75	
38	4			31	
38	5	4	PU		
