point	event	oTeam	dTeam	oNum	oCode	dNum	dCode	scTeam
31	1	vanNH	seaRM			29	P	vanNH
31	2	vanNH	seaRM	19				vanNH
31	3	vanNH	seaRM	91				vanNH
31	4	vanNH	seaRM	10				vanNH
31	5	vanNH	seaRM	98				vanNH
31	6	vanNH	seaRM	22				vanNH
31	7	vanNH	seaRM	19	A			vanNH
31	8	vanNH	seaRM	98	G			vanNH
32	1	seaRM	vanNH			8	P	seaRM
32	2	seaRM	vanNH	00				seaRM
32	3	seaRM	vanNH	1				seaRM
32	4	seaRM	vanNH	9				seaRM
32	5	seaRM	vanNH	14				seaRM
32	6	seaRM	vanNH	1				seaRM
32	7	seaRM	vanNH	17				seaRM
32	8	seaRM	vanNH	6	A			seaRM
32	9	seaRM	vanNH	9	G			seaRM
33	1	vanNH	seaRM			29	P	vanNH
33	2	vanNH	seaRM	91				vanNH
33	3	vanNH	seaRM	19				vanNH
33	4	vanNH	seaRM	91				vanNH
33	5	vanNH	seaRM	22				vanNH
33	6	vanNH	seaRM	19				vanNH
33	7	vanNH	seaRM	10				vanNH
33	8	vanNH	seaRM	98	A			vanNH
33	9	vanNH	seaRM	72	G			vanNH
34	1	seaRM	vanNH			8	P	vanNH
34	2	seaRM	vanNH	00				vanNH
34	3	seaRM	vanNH	1				vanNH
34	4	seaRM	vanNH	00				vanNH
34	5	seaRM	vanNH	6				vanNH
34	6	seaRM	vanNH	48				vanNH
34	7	seaRM	vanNH			13	D	vanNH
34	8	seaRM	vanNH			89	PU	vanNH
34	9	seaRM	vanNH			98		vanNH
34	10	seaRM	vanNH			10		vanNH
34	11	seaRM	vanNH	29	PU			vanNH
34	12	seaRM	vanNH	4				vanNH
34	13	seaRM	vanNH	29				vanNH
34	14	seaRM	vanNH	4				vanNH
34	15	seaRM	vanNH	29				vanNH
34	16	seaRM	vanNH	21				vanNH
34	17	seaRM	vanNH	29				vanNH
34	18	seaRM	vanNH	15				vanNH
34	19	seaRM	vanNH			91	PU	vanNH
34	20	seaRM	vanNH			19		vanNH
34	21	seaRM	vanNH			89	A	vanNH
34	22	seaRM	vanNH			10	G	vanNH
35	1	seaRM	vanNH			8	P	seaRM
35	2	seaRM	vanNH	00				seaRM
35	3	seaRM	vanNH	1				seaRM
35	4	seaRM	vanNH	00				seaRM
35	5	seaRM	vanNH	14				seaRM
35	6	seaRM	vanNH	51				seaRM
35	7	seaRM	vanNH	00				seaRM
35	8	seaRM	vanNH	14				seaRM
35	9	seaRM	vanNH	00				seaRM
35	10	seaRM	vanNH			45	F	seaRM
35	11	seaRM	vanNH			11	PU	seaRM
35	12	seaRM	vanNH			4		seaRM
35	13	seaRM	vanNH			45		seaRM
35	14	seaRM	vanNH			24		seaRM
35	15	seaRM	vanNH	4	D			seaRM
35	16	seaRM	vanNH	1	PU			seaRM
35	17	seaRM	vanNH	8				seaRM
35	18	seaRM	vanNH	9	L			seaRM
35	19	seaRM	vanNH	17				seaRM
35	20	seaRM	vanNH	14				seaRM
35	21	seaRM	vanNH	17	A			seaRM
35	22	seaRM	vanNH	1	G			seaRM
36	1	vanNH	seaRM			29	P	seaRM
36	2	vanNH	seaRM	89				seaRM
36	3	vanNH	seaRM	91				seaRM
36	4	vanNH	seaRM			23	D	seaRM
36	5	vanNH	seaRM			29	PU	seaRM
36	6	vanNH	seaRM			18		seaRM
36	7	vanNH	seaRM			23		seaRM
36	8	vanNH	seaRM			21	A	seaRM
36	9	vanNH	seaRM			12	G	seaRM
37	1	vanNH	seaRM			29	P	vanNH
37	2	vanNH	seaRM	19				vanNH
37	3	vanNH	seaRM	89				vanNH
37	4	vanNH	seaRM	21				vanNH
37	5	vanNH	seaRM	19				vanNH
37	6	vanNH	seaRM	98				vanNH
37	7	vanNH	seaRM	22				vanNH
37	8	vanNH	seaRM	89				vanNH
37	9	vanNH	seaRM	10				vanNH
37	10	vanNH	seaRM	98				vanNH
37	11	vanNH	seaRM			4	PU	vanNH
37	12	vanNH	seaRM	98	D			vanNH
37	13	vanNH	seaRM	89	PU			vanNH
37	14	vanNH	seaRM	10				vanNH
37	15	vanNH	seaRM	22				vanNH
37	16	vanNH	seaRM	98				vanNH
37	17	vanNH	seaRM	91				vanNH
37	18	vanNH	seaRM	19				vanNH
37	19	vanNH	seaRM	10				vanNH
37	20	vanNH	seaRM	89	A			vanNH
37	21	vanNH	seaRM	21	G			vanNH
38	1	seaRM	vanNH			8	P	NA
38	2	seaRM	vanNH	1				NA
38	3	seaRM	vanNH	20				NA
38	4	seaRM	vanNH	1				NA
38	5	seaRM	vanNH	20				NA
38	6	seaRM	vanNH	8				NA
38	7	seaRM	vanNH	00				NA
38	8	seaRM	vanNH	6				NA
38	9	seaRM	vanNH			8	D	NA
38	10	seaRM	vanNH			8	PU	NA
38	11	seaRM	vanNH	8	HB			NA
39	1	seaRM	vanNH			8	P	seaRM
39	2	seaRM	vanNH	14				seaRM
39	3	seaRM	vanNH	1				seaRM
39	4	seaRM	vanNH	00				seaRM
39	5	seaRM	vanNH	1				seaRM
39	6	seaRM	vanNH	00				seaRM
39	7	seaRM	vanNH	9				seaRM
39	8	seaRM	vanNH	8				seaRM
39	9	seaRM	vanNH	17	A			seaRM
39	10	seaRM	vanNH	9	LG			seaRM
40	1	vanNH	seaRM			18	P	vanNH
40	2	vanNH	seaRM	19				vanNH
40	3	vanNH	seaRM	89				vanNH
40	4	vanNH	seaRM	91				vanNH
40	5	vanNH	seaRM	19				vanNH
40	6	vanNH	seaRM	91				vanNH
40	7	vanNH	seaRM	22				vanNH
40	8	vanNH	seaRM	10				vanNH
40	9	vanNH	seaRM	22				vanNH
40	10	vanNH	seaRM	10				vanNH
40	11	vanNH	seaRM			18	D	vanNH
40	12	vanNH	seaRM			18	SO	vanNH
40	13	vanNH	seaRM	21	SO			vanNH
40	14	vanNH	seaRM			17	SI	vanNH
40	15	vanNH	seaRM	8	SI			vanNH
40	16	vanNH	seaRM			29	PU	vanNH
40	17	vanNH	seaRM			12		vanNH
40	18	vanNH	seaRM			29		vanNH
40	19	vanNH	seaRM	91	PU			vanNH
40	20	vanNH	seaRM	89				vanNH
40	21	vanNH	seaRM	8				vanNH
40	22	vanNH	seaRM	10				vanNH
40	23	vanNH	seaRM	22				vanNH
40	24	vanNH	seaRM	98				vanNH
40	25	vanNH	seaRM	91	A			vanNH
40	26	vanNH	seaRM	10	G			vanNH
41	1	seaRM	vanNH			8	P	vanNH
41	2	seaRM	vanNH	1				vanNH
41	3	seaRM	vanNH	20				vanNH
41	4	seaRM	vanNH	00				vanNH
41	5	seaRM	vanNH	20				vanNH
41	6	seaRM	vanNH	48				vanNH
41	7	seaRM	vanNH			8	D	vanNH
41	8	seaRM	vanNH			8	PU	vanNH
41	9	seaRM	vanNH			45		vanNH
41	10	seaRM	vanNH			31		vanNH
41	11	seaRM	vanNH	20	PU			vanNH
41	12	seaRM	vanNH	1				vanNH
41	13	seaRM	vanNH	6				vanNH
41	14	seaRM	vanNH	1				vanNH
41	15	seaRM	vanNH	20				vanNH
41	16	seaRM	vanNH	48				vanNH
41	17	seaRM	vanNH			8	D	vanNH
41	18	seaRM	vanNH				TO	vanNH
41	19	seaRM	vanNH			89	PU	vanNH
41	20	seaRM	vanNH			22		vanNH
41	21	seaRM	vanNH			89		vanNH
41	22	seaRM	vanNH			19		vanNH
41	23	seaRM	vanNH			91		vanNH
41	24	seaRM	vanNH			19		vanNH
41	25	seaRM	vanNH			72		vanNH
41	26	seaRM	vanNH			10		vanNH
41	27	seaRM	vanNH			89		vanNH
41	28	seaRM	vanNH			91	A	vanNH
41	29	seaRM	vanNH			19	G	vanNH
42	1	seaRM	vanNH			8	OBP	seaRM
42	2	seaRM	vanNH	1				seaRM
42	3	seaRM	vanNH	00				seaRM
42	4	seaRM	vanNH	1				seaRM
42	5	seaRM	vanNH	00				seaRM
42	6	seaRM	vanNH	1				seaRM
42	7	seaRM	vanNH	8				seaRM
42	8	seaRM	vanNH	9				seaRM
42	9	seaRM	vanNH	1				seaRM
42	10	seaRM	vanNH	00				seaRM
42	11	seaRM	vanNH	6				seaRM
42	12	seaRM	vanNH			11	D	seaRM
42	13	seaRM	vanNH			24	PU	seaRM
42	14	seaRM	vanNH			91		seaRM
42	15	seaRM	vanNH			8		seaRM
42	16	seaRM	vanNH	8	D			seaRM
42	17	seaRM	vanNH	8	A			seaRM
42	18	seaRM	vanNH	6	G			seaRM
43	1	vanNH	seaRM			29	P	vanNH
43	2	vanNH	seaRM	89				vanNH
43	3	vanNH	seaRM	91				vanNH
43	4	vanNH	seaRM	98				vanNH
43	5	vanNH	seaRM	91				vanNH
43	6	vanNH	seaRM	89				vanNH
43	7	vanNH	seaRM	21				vanNH
43	8	vanNH	seaRM	10				vanNH
43	9	vanNH	seaRM	98				vanNH
43	10	vanNH	seaRM			29	PU	vanNH
43	11	vanNH	seaRM			2	TO	vanNH
43	12	vanNH	seaRM			1	PU	vanNH
43	13	vanNH	seaRM			20		vanNH
43	14	vanNH	seaRM			1		vanNH
43	15	vanNH	seaRM			48		vanNH
43	16	vanNH	seaRM			9		vanNH
43	17	vanNH	seaRM			1		vanNH
43	18	vanNH	seaRM			00		vanNH
43	19	vanNH	seaRM			17		vanNH
43	20	vanNH	seaRM			48		vanNH
43	21	vanNH	seaRM	4	PU			vanNH
43	22	vanNH	seaRM	8				vanNH
