point	event	pull_pnum	pull_code	recv_pnum	recv_code
18	2			25	PU
18	3			7	
18	4			71	
18	5			7	
18	6			27	LG
19	1	11	P		
19	2			21	PU
19	3			43	
19	4			4	
19	5	25	D		
20	1	18	P		
20	2			13	PU
20	3			7	
20	4			13	
20	5			14	
20	6			7	
20	7			13	
20	8			14	
20	9			13	
20	10			7	
20	11			13	
20	12	13	F		
20	13			7	
20	14			27	
20	15			7	
20	16			27	
20	17			25	
20	18			27	
20	19			14	
20	20			27	
20	21			14	
20	22			7	
20	23			27	
20	24			25	G
21	1	1	P		
21	2			4	PU
21	3			10	
21	4			4	
21	5			10	
21	6			3	
21	7			43	
21	8			4	
21	9			21	LG
22	1	18	P		
22	2			25	PU
22	3			13	
22	4			7	
22	5			13	
22	6			9	
22	7			14	
22	8			13	
22	9			9	
22	10			11	
22	11			27	G
23	1	20	P		
23	2			10	PU
23	3			4	
23	4			21	
23	5			4	
23	6	64	PU		
23	7	20			
23	8	64			
23	9	21			
23	10	28			
23	11	21			
23	12	27	G		
24	1	16	P		
24	2			00	PU
24	3			13	
24	4			1	
24	5			29	
24	6			9	
24	7			18	TD
24	8	77	PU		
24	9	16			
24	10	33			
24	11	2			
24	12	12			
24	13	33			
24	14	77			
24	15	4			
24	16	16			
24	17	2			
24	18	77			
24	19	33			
24	20	22			
24	21	4			
24	22	77			
24	23	2			
24	24			1	HB
24	25			00	TO
24	26			4	PU
24	27			1	
24	28			4	
24	29			21	
24	30	10	F		
24	31			27	
24	32			17	
24	33			4	
24	34			4	SO
24	35			8	SI
24	36			8	PU
24	37			13	G
25	1	43	P		
25	2			13	PU
25	3			7	
25	4			13	
25	5			14	
25	6			7	
25	7			27	
25	8			7	
25	9			13	
25	10			25	
25	11			7	
25	12			13	
25	13			14	
25	14			25	
25	15			7	
25	16			9	
25	17			14	
25	18			7	
25	19			13	
25	20			7	
25	21			25	
25	22			27	
25	23			13	
25	24			7	
25	25			13	G
26	1	1	P		
26	2			00	PU
26	3			13	
26	4	2	D		
26	5	2	PU		
26	6	1			
26	7	21			
26	8	1			
26	9	64			
26	10	21			
26	11	16			
26	12	22			
26	13	2			
26	14	64			
26	15			17	F
26	16	21			
26	17	64			
26	18	21			
26	19	2			
26	20	16	G		
27	1	11	P		
27	2			8	PU
27	3			4	
27	4			10	
27	5			4	
27	6			10	
27	7			8	
27	8			10	
27	9			43	
27	10			10	
27	11			9	
27	12			10	
27	13			8	
27	14			4	
27	15			9	LG
28	1	18	P		
28	2			20	PU
28	3			7	
28	4			71	
28	5			27	
28	6			9	
28	7			27	
28	8			7	
28	9			9	
28	10	17	F		
28	11	13	PU		
28	12	21			
28	13	18			
28	14			9	D
28	15			9	PU
28	16			25	
28	17			20	
28	18			27	
28	19			71	
29	1	1	P		
29	2			10	PU
29	3			4	
29	4			21	
29	5	21	D		
29	6	64	PU		
29	7	21			
29	8	64			
29	9	21			
29	10	2			
29	11	64			
29	12	2	G		
30	1	20	P		
30	2			00	PU
30	3			13	
30	4			18	
30	5			1	
30	6			8	G
31	1	43	P		
31	2			4	PU
31	3			13	
31	4			27	
31	5			14	
31	6			7	
31	7			27	
31	8			14	
31	9			7	
31	10	4	PU		
31	11	21			
31	12	43			
31	13	21			
31	14	10			
31	15	4			
31	16	43			
31	17	4			
31	18	21	LG		
32	1	13	P		
32	2			20	PU
32	3			71	
32	4			1	
32	5			71	
32	6			21	
32	7			64	
32	8			11	
32	9			16	
32	10			21	
32	11			11	
32	12			64	
32	13			20	
32	14			71	
32	15			21	G
33	1	28	P		
33	2			4	PU
33	3			10	
33	4			17	
33	5			27	LG
34	1	18	OBP		
34	2			7	PU
34	3			25	
34	4			11	
34	5			9	
34	6			11	
34	7			14	
34	8			7	
34	9			27	
34	10			9	LG
35	1	20	OBP		
35	2			4	PU
35	3			27	
35	4	16	D		
35	5	28	PU		
35	6	20			
35	7	2			
35	8	20			
35	9	64			
35	10	31			
35	11	64			
35	12	10			
35	13	2			
35	14	20			
35	15	10			
35	16	64			
35	17	31			
35	18	64			
35	19	16	G		
36	1	1	P		
36	2			8	PU
36	3			00	
36	4			29	
36	5			1	
36	6			29	
36	7			64	LG
37	1	43	P		
37	2			25	PU
37	3			14	
37	4			11	
37	5			14	
37	6			7	
37	7			11	
37	8			13	
37	9			7	
37	10	4	PU		
37	11	10			
37	12	27			
37	13	21			
37	14	10			
37	15	21			
37	16	10			
37	17	17			
37	18	43	G		
38	1	13	P		
38	2			20	PU
