point	event	pullNum	pullCode	recvNum	recvCode
22	12			22	
22	13				TO
22	14			5	PU
22	15	34	PU		
22	16			19	HB
22	17			89	PU
22	18	34	PU		
22	19	13	TD		
22	20			89	PU
22	21			5	TD
22	22	40	PU		
22	23			5	F
22	24	88			
22	25			5	PU
22	26			89	
22	27	25	PU		
22	28	40			
22	29	13			
22	30	6			
22	31	88			
22	32	40			
22	33	34			
22	34			98	D
22	35			5	PU
22	36			72	L
22	37			22	
22	38			72	
22	39			10	G
23	1	33	P		
23	2			12	PU
23	3	45	PU		
23	4	81			
23	5			12	F
23	6	81			
23	7			12	F
23	8			12	D
23	9			16	PU
23	10	8	F		
23	11	33	D		
23	12	33			
23	13			18	D
23	14			16	PU
23	15	45	PU		
23	16			21	D
23	17			21	
23	18			85	
23	19	81	PU		
23	20	33			
23	21			16	PU
23	22	?	F		
23	23	45	PU		
23	24	24			
23	25	31			
23	26	8			
23	27			12	PU
23	28			17	
23	29	45	PU		
23	30	39			
23	31	8	G		
24	1	33	P		
24	2			25	PU
24	3			34	
24	4	81	PU		
24	5	33	G		
25	1	33	P		
25	2			12	PU
25	3	8	D		
25	4	8	PU		
25	5			2	D
26	1	8	P		
26	2			25	PU
26	3			11	L
26	4	75	PU		
26	5	8			
26	6			11	PU
26	7	8	F		
26	8			13	
26	9			25	
26	10	45	PU		
26	11	39			
26	12	24			
26	13	39			
26	14	24			
26	15	45	TD		
26	16			40	PU
26	17			25	
26	18			88	
26	19			9	L
26	20			11	
26	21			40	
26	22	75	D		
26	23	75	PU		
26	24	24			
26	25			8	PU
26	26			40	
26	27	45	PU		
26	28	24			
26	29	8			
26	30	27			
26	31			8	D
26	32			8	PU
26	33			88	
26	34			13	
26	35	45	PU		
26	36	39			
26	37			8	D
26	38			40	PU
26	39			8	
26	40			25	
26	41			88	
26	42			13	
26	43	45	PU		
26	44			88	PU
26	45			8	
26	46			88	
26	47			8	
26	48			9	
26	49			40	
26	50			88	
26	51			8	
26	52			88	
26	53			8	
26	54			11	
26	55			8	
26	56	75	D		
26	57	75	PU		
26	58	8			
26	59	39			
26	60	75	TD		
26	61			8	PU
26	62			13	TD
26	63	75	PU		
26	64	8			
26	65	13	VST		
26	66				TO
26	67			16	PU
26	68			17	
26	69			23	L
26	70			34	
26	71			1	
26	72			34	
26	73			18	G
27	1	16	P		
27	2			89	PU
27	3			5	
27	4			10	
27	5			21	TD
27	6	16	PU		
27	7	12	TD		
27	8			5	PU
27	9	5	PU		
27	10	85			
27	11	16			
27	12	21			
27	13	2			
27	14	16			
27	15	12			
27	16	18	G		
28	1	34	P		
28	2			89	PU
28	3			75	
28	4	34	HB		
28	5	34	PU		
28	6			75	PU
28	7	9	F		
28	8			5	
28	9	23	PU		
28	10	6			
28	11			5	D
28	12			5	PU
28	13	34	D		
29	1	?	P		
29	2			19	PU
29	3			5	
29	4			19	
29	5	85	D		
29	6	5	PU		
29	7			21	D
29	8			89	PU
29	9			5	
29	10			98	L
29	11			21	
29	12			10	
29	13	5	D		
29	14	5			
29	15	18	TD		
29	16			5	PU
29	17	12	PU		
29	18	5			
29	19	12			
29	20	18			
29	21	1			
29	22	?	TO		
29	23	34	PU		
29	24	40			
29	25	34			
29	26	6			
29	27	34	G		
30	1	34	P		
30	2			89	PU
30	3			5	
30	4			89	
30	5			21	L
30	6			19	
30	7	6	F		
30	8			21	
30	9			19	
30	10			5	
30	11	34	PU		
30	12	11			
30	13	34			
30	14			72	D
30	15			5	PU
30	16			22	
30	17			5	
30	18			72	
30	19			5	
30	20			22	
30	21			5	
30	22			21	VST
30	23	8	PU		
30	24	23			
30	25	8			
30	26	34			
30	27	19			
30	28	34			
30	29	8			
30	30	34			
30	31	11			
30	32	6			
30	33	9			
30	34				TO
30	35			5	PU
30	36			22	
30	37			19	
30	38			22	
30	39			89	
30	40			5	
30	41			21	TD
