point	event	pull_pnum	pull_code	recv_pnum	recv_code
27	11			1	G
28	1	43	P		
28	2			4	PU
28	3			19	
28	4	12	PU		
28	5	10			
28	6	29			
28	7	12			
28	8	29			
28	9	27			
28	10			19	PU
28	11			4	
28	12			19	
28	13	12	PU		
28	14	10			
28	15	12			
28	16	27	TO		
28	17	1	PU		
28	18	21	G		
29	1	18	P		
29	2			4	PU
29	3			19	
29	4			2	
29	5			14	
29	6			33	
29	7			41	
29	8	5	D		
29	9	5	PU		
29	10	11			
29	11	25	G		
30	1	43	P		
30	2			27	PU
30	3			82	
30	4	12	D		
30	5	12	PU		
30	6	10			
30	7	43			
30	8			47	D
30	9			47	PU
30	10			82	
30	11			13	L
30	12	12	PU		
30	13	10			
30	14	12			
30	15	27	L		
30	16	29			
30	17	64	G		
31	1	43	P		
31	2			26	PU
31	3			2	
31	4			14	
31	5			26	
31	6	77	D		
32	1	18	P		
32	2			4	PU
32	3			6	
32	4			19	
32	5			41	
32	6			6	
32	7			41	
32	8			4	
32	9			2	
32	10			19	
32	11			4	
32	12			6	
32	13			19	
32	14			6	
32	15			4	
32	16			6	
32	17			4	G
33	1	22	P		
33	2			7	PU
33	3			00	
33	4			1	
33	5			9	
33	6			00	
33	7			21	
33	8			13	
33	9			7	
33	10			13	
33	11			21	
33	12			7	
33	13			17	
33	14			21	
33	15			7	G
34	1	43	P		
34	2			4	PU
34	3			14	
34	4			2	
34	5			19	
34	6			14	
34	7			41	
34	8			19	
34	9			4	
34	10			41	
34	11			4	G
35	1	22	P		
35	2			00	PU
35	3			13	
35	4			3	
35	5			13	
35	6			21	
35	7	22	PU		
35	8	47			
35	9	15			
35	10	22			
35	11	15			
35	12			13	PU
35	13			1	
35	14			13	
35	15			21	
35	16			3	
35	17			1	
35	18			77	G
36	1	18	OBP		
36	2			6	PU
36	3			14	
36	4			2	
36	5			6	
36	6			19	
36	7			6	
36	8			26	
36	9			2	
36	10			6	
36	11			14	
36	12			19	
36	13			26	
36	14			19	
36	15			1	
36	16			19	
36	17			14	G
37	1	22	P		
37	2			7	PU
37	3			13	
37	4			9	
37	5			17	
37	6			21	
37	7			77	
37	8			17	
37	9			7	
37	10			77	
37	11			7	
37	12			21	
37	13			1	
37	14			9	
37	15			21	
37	16			1	
37	17			17	G
38	1	43	P		
38	2			4	PU
38	3			6	
38	4			14	
38	5			19	
38	6			1	
38	7			4	TD
38	8	12	PU		
38	9	37			
38	10	6			
38	11	27			
38	12	64			
38	13	12			
38	14	10			
38	15			6	PU
38	16			4	
38	17	12	PU		
38	18	43			
38	19			4	PU
38	20			14	
38	21			41	
38	22			14	
38	23			41	
38	24			19	
38	25	6	D		
38	26	12	PU		
38	27	27			
38	28	43			
38	29	27			
38	30	43	G		
39	1	18	P		
39	2			19	PU
39	3			2	
39	4			19	
39	5			6	
39	6			22	
39	7			19	G
40	1	81	P		
40	2			00	PU
40	3			13	
40	4			1	
40	5			77	
