point	event	pull_pnum	pull_code	recv_pnum	recv_code
8	4			77	
8	5	7	PU		
8	6	15			
8	7	25			
8	8	7			
8	9	15			
8	10	23			
8	11	25			
8	12	15			
8	13	5	G		
9	1	61	P		
9	2			4	PU
9	3			1	
9	4			00	
9	5			13	
9	6			1	LG
10	1	43	P		
10	2			14	PU
10	3			99	
10	4			32	
10	5			14	
10	6			90	
10	7			99	
10	8			88	
10	9			14	
10	10			32	G
11	1	15	P		
11	2			00	PU
11	3			4	
11	4			77	
11	5			4	
11	6	4	F		
11	7			13	
11	8			00	
11	9			4	
11	10			00	
11	11			77	
11	12			17	G
12	1	11	P		
12	2			27	PU
12	3			99	
12	4			27	
12	5			99	
12	6			80	
12	7			90	
12	8			9	
12	9			99	
12	10	10	PU		
12	11	12			
12	12	6			
12	13	12			
12	14	27			
12	15			99	D
12	16			88	PU
12	17			99	
12	18			27	VTT
12	19	10	PU		
12	20	29			
12	21	11			
12	22	27			
12	23	5	L		
12	24	12			
12	25			99	TO
12	26			99	PU
12	27			27	
12	28			45	
12	29			88	
12	30			99	
12	31	93	F		
12	32			14	
12	33			9	
12	34			45	
12	35			80	G
13	1	19	P		
13	2			1	PU
13	3			13	
13	4			17	
13	5			11	
13	6			4	
13	7			13	
13	8			4	
13	9			11	
13	10			4	
13	11			1	
13	12			3	
13	13			4	
13	14			1	
13	15			4	
13	16			9	G
14	1	18	P		
14	2			27	PU
14	3			99	
14	4	27	D		
14	5	27	PU		
14	6	10			
14	7	12			
14	8	27	LG		
15	1	43	P		
15	2			27	PU
15	3			99	
15	4			88	
15	5			90	
15	6			88	
15	7			90	
15	8			9	
15	9			99	
15	10	14	HB		
15	11	11	PU		
15	12	8			
15	13			99	PU
15	14			90	
15	15			88	
15	16			45	
15	17			9	
15	18			90	
15	19			45	
15	20			9	
15	21			90	
15	22			9	
15	23			27	
15	24			90	
15	25			32	
15	26			90	
15	27			99	G
16	1	15	P		
16	2			4	PU
16	3			13	
16	4			00	
16	5			13	
16	6			1	
16	7			4	
16	8			9	G
17	1	18	P		
17	2			27	PU
17	3			90	
17	4			27	TD
17	5	18	TO		
17	6	1	PU		
17	7	17			
17	8			15	D
17	9			15	PU
17	10	1	D		
18	1	11	OBP		
18	2			99	PU
18	3			9	
18	4			32	
18	5	5	F		
18	6			27	
18	7	27	D		
18	8	10	PU		
18	9	12			
18	10	10			
18	11	29			
18	12	27			
18	13			90	PU
18	14			88	
18	15			9	
18	16			45	
18	17	11	D		
18	18	11	PU		
18	19	12			
18	20	27			
18	21	29			
18	22	12			
18	23	27			
18	24	29			
18	25	27			
18	26	10			
18	27	12			
18	28	29			
18	29	6			
18	30	12			
18	31	29			
18	32	5	G		
19	1	18	P		
19	2			12	PU
19	3			15	
19	4			14	
19	5			1	
19	6			23	
19	7			15	
19	8			23	
19	9			12	
19	10			5	
19	11			12	
19	12			14	
19	13			1	
19	14			23	
19	15			15	
19	16			80	G
20	1	61	P		
20	2			13	PU
20	3			77	
20	4			00	
20	5			4	
20	6			9	
20	7			77	
20	8			17	G
21	1	11	P		
21	2			14	PU
21	3			99	
21	4			32	
21	5			90	L
21	6	12	PU		
21	7	29			
21	8	10			
21	9	6			
21	10	29			
21	11	27	G		
22	1	43	P		
22	2			15	PU
22	3			23	
22	4			1	
22	5			12	
22	6			23	
22	7			14	
22	8			23	
22	9			12	
22	10			14	
22	11			99	
22	12			5	
22	13	14	PU		
22	14	18	TO		
22	15	13	PU		
22	16	4			
22	17	1			
22	18	13			
22	19	4			
