period	point	event	pl_team	pl_pnum	pl_code
1	11	3	seaRM	20	
1	11	4	vanNH	33	D
1	11	5	vanNH	33	
1	11	6	vanNH	37	
1	11	7	vanNH	14	
1	11	8	vanNH	81	
1	11	9	vanNH	37	
1	11	10	vanNH	31	
1	11	11	vanNH	33	
1	11	12	vanNH	37	
1	11	13	vanNH	27	TD
1	11	14	seaRM	3	PU
1	11	15	vanNH	81	F
1	11	16	vanNH	33	PU
2	12	1	vanNH	8	P
2	12	2	seaRM	20	PU
2	12	3	seaRM	3	
2	12	4	seaRM	6	
2	12	5	seaRM	20	
2	12	6	vanNH	18	D
2	12	7	vanNH	81	PU
2	12	8	vanNH	31	
2	12	9	vanNH	45	
2	12	10	vanNH	27	
2	12	11	vanNH	8	
2	12	12	seaRM	99	F
2	12	13	vanNH	18	TD
2	12	14	seaRM	3	PU
2	12	15	seaRM	25	
2	12	16	seaRM	6	
2	12	17	seaRM	3	
2	12	18	seaRM	48	
2	12	19	seaRM	3	
2	12	20	vanNH	45	PUA
2	12	21	vanNH	81	G
2	13	1	vanNH	33	P
2	13	2	seaRM	3	PU
2	13	3	seaRM	20	
2	13	4	seaRM	6	
2	13	5	seaRM	25	
2	13	6	seaRM	99	LA
2	13	7	seaRM	6	G
2	14	1	seaRM	35	P
2	14	2	vanNH	91	PU
2	14	3	vanNH	5	
2	14	4	seaRM	9	PU
2	14	5	seaRM	8	
2	14	6	seaRM	29	
2	14	7	seaRM	28	
2	14	8	seaRM	28	TO
2	14	9	seaRM	3	PU
2	14	10	seaRM	17	
2	14	11	seaRM	6	
2	14	12	seaRM	3	
2	14	13	seaRM	6	A
2	14	14	seaRM	48	G
2	15	1	seaRM	4	P
2	15	2	vanNH	15	PU
2	15	3	vanNH	89	
2	15	4	vanNH	19	
2	15	5	vanNH	91	
2	15	6	vanNH	19	
2	15	7	vanNH	21	
2	15	8	vanNH	19	
2	15	9	vanNH	91	
2	15	10	vanNH	89	
2	15	11	vanNH	98	
2	15	12	vanNH	89	
2	15	13	vanNH	21	
2	15	14	vanNH	5	
2	15	15	seaRM	9	D
2	15	16	seaRM	29	PU
2	15	17	vanNH	89	PU
2	15	18	vanNH	19	
2	15	19	vanNH	5	
2	15	20	seaRM	13	D
2	15	21	seaRM	21	PUA
2	15	22	seaRM	2	G
2	16	1	seaRM	35	P
2	16	2	vanNH	89	PU
2	16	3	vanNH	91	
2	16	4	vanNH	89	
2	16	5	vanNH	91	
2	16	6	vanNH	22	
2	16	7	vanNH	89	
2	16	8	vanNH	8	A
2	16	9	vanNH	10	G
2	17	1	vanNH	33	P
2	17	2	seaRM	3	PU
2	17	3	seaRM	48	
2	17	4	seaRM	25	
2	17	5	seaRM	17	A
2	17	6	seaRM	48	LG
2	18	1	seaRM	35	P
2	18	2	vanNH	19	PU
2	18	3	vanNH	5	
2	18	4	vanNH	19	
2	18	5	vanNH	89	
2	18	6	vanNH	19	
2	18	7	vanNH	22	
2	18	8	vanNH	19	
2	18	9	vanNH	22	
2	18	10	vanNH	5	
2	18	11	vanNH	21	
2	18	12	seaRM	35	D
2	18	13	seaRM	29	TO
2	18	14	seaRM	3	PU
2	18	15	seaRM	20	
2	18	16	seaRM	17	
2	18	17	seaRM	6	
2	18	18	vanNH	18	PU
2	18	19	vanNH	31	L
2	18	20	seaRM	3	PU
2	18	21	seaRM	20	
2	18	22	vanNH	81	PU
2	18	23	vanNH	18	TO
2	18	24	vanNH	91	PU
2	18	25	vanNH	98	A
2	18	26	vanNH	22	G
2	19	1	vanNH	8	OBP
2	19	2	seaRM	3	PU
2	19	3	seaRM	0	
2	19	4	seaRM	3	
2	19	5	seaRM	6	
2	19	6	vanNH	45	D
2	19	7	vanNH	45	
2	19	8	vanNH	8	SO
2	19	9	vanNH	21	SI
2	19	10	vanNH	45	
