game	period	point	pull_team	poss_abs	poss_rel	event	poss_team	pl_team	pl_pnum	pl_code	score	scor_team	who	a_code	b_code
2014-04-12_vanNH-at-pdxST	4	39	vanNH	70	1	8	pdxST	pdxST	13	LG	TRUE	pdxST	o_line	G	G
2014-04-12_vanNH-at-pdxST	4	40	pdxST	71	1	7	vanNH	vanNH	72	G	TRUE	vanNH	o_line	G	G
2014-04-12_vanNH-at-pdxST	4	41	vanNH	72	1	38	pdxST	pdxST	10	G	TRUE	pdxST	o_line	G	G
2014-04-12_vanNH-at-pdxST	4	42	pdxST	73	1	5	vanNH	vanNH	10	LG	TRUE	vanNH	o_line	G	G
2014-04-12_vanNH-at-pdxST	4	43	vanNH	74	1	14	pdxST	vanNH	33	D	FALSE	NA	o_line	D	def +
2014-04-12_vanNH-at-pdxST	4	43	vanNH	75	2	19	vanNH	vanNH	8	TA	FALSE	NA	d_line	TA	off -
2014-04-12_vanNH-at-pdxST	4	43	vanNH	76	3	24	pdxST	pdxST	13	TD	FALSE	NA	o_line	TD	off -
2014-04-12_vanNH-at-pdxST	4	43	vanNH	77	4	33	vanNH	vanNH	98	TD	FALSE	NA	d_line	TD	off -
2014-04-12_vanNH-at-pdxST	4	43	vanNH	78	5	35	pdxST	pdxST	17	LG	TRUE	pdxST	o_line	G	G
2014-04-12_vanNH-at-pdxST	4	44	pdxST	79	1	7	vanNH	vanNH	22	G	TRUE	vanNH	o_line	G	G
2014-04-12_vanNH-at-pdxST	4	45	vanNH	80	1	23	pdxST	pdxST	13	G	TRUE	pdxST	o_line	G	G
2014-04-12_vanNH-at-pdxST	4	46	pdxST	81	1	6	vanNH	vanNH	98	G	TRUE	vanNH	o_line	G	G
2014-04-12_vanNH-at-pdxST	4	47	vanNH	82	1	6	pdxST	pdxST	2	G	TRUE	pdxST	o_line	G	G
2014-04-20_sfoDF-at-vanNH	1	1	vanNH	1	1	5	sfoDF	vanNH	27	D	FALSE	NA	o_line	D	def +
2014-04-20_sfoDF-at-vanNH	1	1	vanNH	2	2	8	vanNH	sfoDF	34	HB	FALSE	NA	d_line	D	def +
2014-04-20_sfoDF-at-vanNH	1	1	vanNH	3	3	11	sfoDF	sfoDF	23	TD	FALSE	NA	o_line	TD	off -
2014-04-20_sfoDF-at-vanNH	1	1	vanNH	4	4	20	vanNH	vanNH	81	G	TRUE	vanNH	d_line	G	G
2014-04-20_sfoDF-at-vanNH	1	2	vanNH	5	1	5	sfoDF	sfoDF	3	G	TRUE	sfoDF	o_line	G	G
2014-04-20_sfoDF-at-vanNH	1	3	sfoDF	6	1	6	vanNH	vanNH	98	TA	FALSE	NA	o_line	TA	off -
2014-04-20_sfoDF-at-vanNH	1	3	sfoDF	7	2	9	sfoDF	sfoDF	17	TD	FALSE	NA	d_line	TD	off -
2014-04-20_sfoDF-at-vanNH	1	3	sfoDF	8	3	12	vanNH	vanNH	91	G	TRUE	vanNH	o_line	G	G
2014-04-20_sfoDF-at-vanNH	1	4	vanNH	9	1	4	sfoDF	vanNH	8	D	FALSE	NA	o_line	D	def +
2014-04-20_sfoDF-at-vanNH	1	4	vanNH	10	2	5	vanNH	vanNH	8	TA	FALSE	NA	d_line	TA	off -
2014-04-20_sfoDF-at-vanNH	1	4	vanNH	11	3	7	sfoDF	sfoDF	11	TD	FALSE	NA	o_line	TD	off -
2014-04-20_sfoDF-at-vanNH	1	4	vanNH	12	4	13	vanNH	vanNH	39	TD	FALSE	NA	d_line	TD	off -
2014-04-20_sfoDF-at-vanNH	1	4	vanNH	13	5	19	sfoDF	vanNH	27	D	FALSE	NA	o_line	D	def +
2014-04-20_sfoDF-at-vanNH	1	4	vanNH	14	6	21	vanNH	vanNH	8	VTT	FALSE	NA	d_line	VTT	off -
2014-04-20_sfoDF-at-vanNH	1	4	vanNH	15	7	23	sfoDF	sfoDF	88	TA	FALSE	NA	o_line	TA	off -
2014-04-20_sfoDF-at-vanNH	1	4	vanNH	16	8	32	vanNH	vanNH	72	G	TRUE	vanNH	d_line	G	G
2014-04-20_sfoDF-at-vanNH	1	5	vanNH	17	1	3	sfoDF	sfoDF	34	TA	FALSE	NA	o_line	TA	off -
2014-04-20_sfoDF-at-vanNH	1	5	vanNH	18	2	9	vanNH	vanNH	14	G	TRUE	vanNH	d_line	G	G
2014-04-20_sfoDF-at-vanNH	1	6	vanNH	19	1	12	sfoDF	sfoDF	1	G	TRUE	sfoDF	o_line	G	G
