point	event	pull_pnum	pull_code	recv_pnum	recv_code
34	8			13	
34	9			25	
34	10			13	
34	11			25	
34	12			13	G
35	1	16	P		
35	2			4	PU
35	3			19	
35	4			14	
35	5			44	
35	6			19	
35	7			26	
35	8			19	
35	9			14	
35	10	64	PU		
35	11	21			
35	12	11			
35	13	31			
35	14	76			
35	15	16	TD		
35	16			19	PU
35	17			44	
35	18			14	
35	19			19	
35	20			44	G
36	1	81	P		
36	2			23	PU
36	3			13	
36	4			7	
36	5			27	
36	6			7	
36	7			14	
36	8			42	
36	9			27	
36	10			25	
36	11			27	
36	12			23	
36	13			14	
36	14			25	
36	15			42	G
37	1	3	P		
37	2			4	PU
37	3			19	
37	4			6	
37	5			19	
37	6			44	TD
37	7	1	PU		
37	8	25			
37	9	1			
37	10			6	D
38	1	16	P		
38	2			19	PU
38	3			6	
38	4			4	
38	5			41	
38	6			1	
38	7	21	PU		
38	8	2			
38	9	16			
38	10	6	LG		
39	1	1	P		
39	2			19	PU
39	3	76	D		
39	4	2	PU		
39	5	76			
39	6			82	D
39	7			6	PU
39	8			47	
39	9			19	
39	10			21	
39	11			89	
39	12			19	
39	13			6	
39	14			18	G
40	1	81	P		
40	2			13	PU
40	3			7	
40	4			13	
40	5	27	F		
40	6	47	PU		
40	7	27			
40	8	5			
40	9	9			
40	10	5			
40	11	27			
40	12	81			
40	13	82			
40	14			25	PU
40	15			7	
40	16			13	
40	17			14	
40	18			42	G
41	1	64	P		
41	2			4	PU
41	3			6	
41	4			14	
41	5			44	TD
41	6	28	PU		
41	7	31			
41	8	76			
41	9	3			
41	10			26	D
41	11			6	PU
41	12			26	
41	13			14	LG
42	1	81	P		
42	2			20	PU
42	3			25	
42	4			20	
42	5			25	
42	6			20	
42	7			7	
42	8			4	
42	9			14	
42	10			4	
42	11			7	
42	12			14	G
43	1	1	P		
43	2			4	PU
43	3			6	
43	4			1	
43	5			4	
43	6			6	
43	7			14	
43	8			1	
43	9			6	
43	10			4	
43	11			1	
43	12			4	
43	13			18	
43	14			14	G
44	1	81	P		
44	2			13	PU
44	3			25	
44	4			27	
44	5			13	
44	6			27	
44	7			42	
44	8			13	
44	9			14	
44	10			42	
44	11	5	PU		
44	12			14	D
44	13			13	PU
44	14			7	
44	15			25	G
45	1	16	P		
45	2			26	PU
45	3			6	
45	4			44	
45	5			14	
45	6	18	VP		
45	7			18	LG
46	1	47	P		
46	2			7	PU
46	3			27	
46	4			42	
46	5			27	
46	6			13	
46	7			42	G
47	1	1	P		
47	2			4	PU
47	3			6	
47	4			14	
47	5	64	D		
47	6	64	PU		
47	7			44	D
47	8			44	PU
47	9			19	
47	10			4	
47	11			41	
47	12			4	
47	13			18	
47	14			44	G
48	1	81	P		
48	2			13	PU
48	3			25	
48	4				TO
48	5			7	PU
48	6			25	
48	7			27	
48	8			13	
48	9			14	
48	10			42	
48	11			23	
48	12			25	
48	13			23	
48	14			14	
48	15			13	
48	16			7	
48	17			27	
48	18			42	G
49	1	64	P		
49	2			4	PU
49	3			19	
49	4			1	TD
49	5	2	PU		
49	6		TO		
49	7	7	PU		
49	8	20			
49	9	7			
49	10	13			
49	11	7			
49	12	13			
49	13	7			
49	14	13			
49	15	7			
49	16	13			
49	17	7			
49	18			6	F
