period	point	event	pl_team	pl_player	pl_code
3	37	9	seaRM	25	F
3	37	10	vanNH	75	TO
3	37	11	vanNH	19	PU
3	37	12	vanNH	89	
3	37	13	vanNH	21	A
3	37	14	vanNH	10	G
3	38	1	vanNH	81	P
3	38	2	seaRM	1	PU
3	38	3	seaRM	17	
3	38	4	seaRM	20	
3	38	5	seaRM	17	
3	38	6	vanNH	24	D
3	38	7	vanNH	8	PU
3	38	8	vanNH	45	
3	38	9	vanNH	8	
3	38	10	vanNH	45	
3	38	11	vanNH	8	A
3	38	12	vanNH	27	G
3	39	1	vanNH	33	P
3	39	2	seaRM	1	PU
3	39	3	seaRM	29	
3	39	4	seaRM	18	
3	39	5	seaRM	29	
3	39	6	vanNH	18	F
3	39	7	seaRM	20	VST
3	39	8	vanNH	33	PU
3	39	9	vanNH	14	
3	39	10	vanNH	18	
3	39	11	vanNH	33	
3	39	12	vanNH	13	TD
3	39	13	seaRM	20	PU
3	39	14	seaRM	1	
3	39	15	seaRM	99	
3	39	16	seaRM	1	
3	39	17	seaRM	20	
3	39	18	seaRM	29	
3	39	19	seaRM	1	
3	39	20	seaRM	18	
3	39	21	seaRM	29	TD
3	39	22	vanNH	18	PU
3	39	23	seaRM	20	D
3	39	24	seaRM	20	TO
3	39	25	seaRM	20	PU
3	39	26	vanNH	98	PUA
3	39	27	vanNH	72	G
4	40	1	vanNH	81	P
4	40	2	seaRM	1	PU
4	40	3	seaRM	20	
4	40	4	seaRM	1	
4	40	5	seaRM	20	
4	40	6	seaRM	17	
4	40	7	seaRM	6	
4	40	8	seaRM	51	
4	40	9	vanNH	81	F
4	40	10	seaRM	20	A
4	40	11	seaRM	51	LG
4	41	1	seaRM	4	P
4	41	2	vanNH	5	PU
4	41	3	vanNH	91	
4	41	4	vanNH	5	
4	41	5	vanNH	22	
4	41	6	vanNH	10	
4	41	7	vanNH	19	
4	41	8	vanNH	22	
4	41	9	vanNH	21	
4	41	10	vanNH	91	
4	41	11	seaRM	29	PU
4	41	12	vanNH	21	F
4	41	13	seaRM	51	SO
4	41	14	vanNH	21	SO
4	41	15	seaRM	20	SI
4	41	16	vanNH	8	SI
4	41	17	seaRM	4	PU
4	41	18	seaRM	29	
4	41	19	seaRM	23	
4	41	20	seaRM	20	
4	41	21	seaRM	4	
4	41	22	seaRM	20	
4	41	23	seaRM	4	
4	41	24	seaRM	20	A
4	41	25	seaRM	99	LG
4	42	1	seaRM	29	P
4	42	2	vanNH	75	PU
4	42	3	vanNH	89	
4	42	4	vanNH	75	
4	42	5	vanNH	8	
4	42	6	vanNH	19	
4	42	7	vanNH	89	
4	42	8	vanNH	22	
4	42	9	vanNH	8	
4	42	10	vanNH	22	
4	42	11	vanNH	75	
4	42	12	vanNH	89	
4	42	13	vanNH	75	
4	42	14	vanNH	22	A
4	42	15	vanNH	8	G
4	43	1	vanNH	81	P
4	43	2	seaRM	14	PU
4	43	3	seaRM	20	
4	43	4	seaRM	14	
4	43	5	seaRM	20	
4	43	6	seaRM	48	
4	43	7	seaRM	17	
4	43	8	vanNH	81	PU
4	43	9	vanNH	7	
4	43	10	vanNH	27	
4	43	11	vanNH	14	
4	43	12	seaRM	20	PU
4	43	13	seaRM	25	A
4	43	14	seaRM	48	LG
4	44	1	seaRM	4	P
4	44	2	vanNH	19	PU
4	44	3	vanNH	5	
4	44	4	vanNH	19	
4	44	5	vanNH	5	
4	44	6	seaRM	7	F
4	44	7	vanNH	72	LA
4	44	8	vanNH	98	G
4	45	1	vanNH	33	P
4	45	2	seaRM	14	PU
4	45	3	seaRM	20	
4	45	4	seaRM	6	
4	45	5	seaRM	8	L
4	45	6	seaRM	25	A
4	45	7	seaRM	48	G
4	46	1	seaRM	29	P
4	46	2	vanNH	5	PU
4	46	3	vanNH	21	
4	46	4	vanNH	5	
4	46	5	vanNH	89	
4	46	6	vanNH	72	
4	46	7	vanNH	98	LA
4	46	8	vanNH	19	G
4	47	1	vanNH	81	P
4	47	2	seaRM	1	PU
4	47	3	seaRM	20	
4	47	4	seaRM	6	
4	47	5	seaRM	20	
4	47	6	vanNH	4	D
4	47	7	vanNH	45	PU
4	47	8	vanNH	24	
4	47	9	vanNH	45	
4	47	10	vanNH	81	A
4	47	11	vanNH	27	G
4	48	1	vanNH	18	P
4	48	2	seaRM	20	PU
4	48	3	seaRM	6	
4	48	4	seaRM	20	
4	48	5	seaRM	14	
4	48	6	seaRM	99	
4	48	7	seaRM	14	
4	48	8	seaRM	17	
4	48	9	seaRM	20	
4	48	10	seaRM	14	
4	48	11	seaRM	6	
4	48	12	seaRM	99	
4	48	13	seaRM	14	
4	48	14	seaRM	20	A
4	48	15	seaRM	48	G
4	49	1	seaRM	29	P
4	49	2	vanNH	91	PU
4	49	3	vanNH	10	
4	49	4	vanNH	21	A
4	49	5	vanNH	72	G
4	50	1	vanNH	33	P
4	50	2	seaRM	14	PU
4	50	3	seaRM	1	A
4	50	4	seaRM	6	LG
4	51	1	seaRM	24	OBP
4	51	2	vanNH	91	PU
4	51	3	vanNH	5	
4	51	4	vanNH	91	
4	51	5	seaRM	51	F
