poss_abs	poss_rel	point	beg_event	end_event	desc	n_inn	beg_code	beg_plyr	innards	end_code	end_plyr	wl	pclass
9	6	2	39	40	ao	0	O-CTH	pdxST-2		O-CTH	pdxST-73	TRUE	compl
9	6	2	40	41	ao	0	O-CTH	pdxST-73		O-CTH	pdxST-22	TRUE	compl
9	6	2	41	42	ao	0	O-CTH	pdxST-22		O-CTH	pdxST-73	TRUE	compl
9	6	2	42	43	ao	0	O-CTH	pdxST-73		O-CTH	pdxST-3	TRUE	compl
9	6	2	43	44	ao	0	O-CTH	pdxST-3		O-CTH	pdxST-16	TRUE	compl
9	6	2	44	45	ao	0	O-CTH	pdxST-16		O-G	pdxST-3	TRUE	compl
10	1	3	2	3	ao	0	O-PU	sfoDF-11		O-CTH	sfoDF-34	TRUE	compl
10	1	3	3	4	ao	0	O-CTH	sfoDF-34		D-D	pdxST-8	TRUE	defd
11	2	3	5	6	ao	0	O-PU	pdxST-11		O-CTH	pdxST-7	TRUE	compl
11	2	3	6	7	ao	0	O-CTH	pdxST-7		O-CTH	pdxST-11	TRUE	compl
11	2	3	7	8	ao	0	O-CTH	pdxST-11		O-G	pdxST-8	TRUE	compl
12	1	4	2	3	ao	0	O-PU	sfoDF-1		O-CTH	sfoDF-16	TRUE	compl
12	1	4	3	4	ao	0	O-CTH	sfoDF-16		O-CTH	sfoDF-2	TRUE	compl
12	1	4	4	5	ao	0	O-CTH	sfoDF-2		O-CTH	sfoDF-85	TRUE	compl
12	1	4	5	6	ao	0	O-CTH	sfoDF-85		O-CTH	sfoDF-16	TRUE	compl
12	1	4	6	7	ao	0	O-CTH	sfoDF-16		O-CTH	sfoDF-10	TRUE	compl
12	1	4	7	8	ao	0	O-CTH	sfoDF-10		O-CTH	sfoDF-16	TRUE	compl
12	1	4	8	9	ao	0	O-CTH	sfoDF-16		O-CTH	sfoDF-2	TRUE	compl
12	1	4	9	10	ao	0	O-CTH	sfoDF-2		O-CTH	sfoDF-16	TRUE	compl
12	1	4	10	11	ao	0	O-CTH	sfoDF-16		O-CTH	sfoDF-1	TRUE	compl
12	1	4	11	12	ao	0	O-CTH	sfoDF-1		O-CTH	sfoDF-25	TRUE	compl
12	1	4	12	13	ao	0	O-CTH	sfoDF-25		O-CTH	sfoDF-16	TRUE	compl
12	1	4	13	14	ao	0	O-CTH	sfoDF-16		O-G	sfoDF-85	TRUE	compl
13	1	5	2	3	ao	0	O-PU	pdxST-24		O-CTH	pdxST-10	TRUE	compl
13	1	5	3	4	ao	0	O-CTH	pdxST-10		O-CTH	pdxST-11	TRUE	compl
13	1	5	4	5	ao	0	O-CTH	pdxST-11		O-CTH	pdxST-10	TRUE	compl
13	1	5	5	6	ao	0	O-CTH	pdxST-10		O-CTH	pdxST-24	TRUE	compl
13	1	5	6	7	ao	0	O-CTH	pdxST-24		O-CTH	pdxST-7	TRUE	compl
13	1	5	7	8	ao	0	O-CTH	pdxST-7		O-CTH	pdxST-24	TRUE	compl
13	1	5	8	9	ao	0	O-CTH	pdxST-24		O-CTH	pdxST-7	TRUE	compl
13	1	5	9	10	ao	0	O-CTH	pdxST-7		O-CTH	pdxST-24	TRUE	compl
13	1	5	10	11	ao	0	O-CTH	pdxST-24		O-CTH	pdxST-7	TRUE	compl
13	1	5	11	12	ao	0	O-CTH	pdxST-7		O-CTH	pdxST-10	TRUE	compl
13	1	5	12	13	ao	0	O-CTH	pdxST-10		O-CTH	pdxST-7	TRUE	compl
13	1	5	13	14	ao	0	O-CTH	pdxST-7		O-CTH	pdxST-42	TRUE	compl
13	1	5	14	15	ao	0	O-CTH	pdxST-42		O-CTH	pdxST-7	TRUE	compl
13	1	5	15	16	ao	0	O-CTH	pdxST-7		O-CTH	pdxST-42	TRUE	compl
13	1	5	16	17	ao	0	O-CTH	pdxST-42		O-CTH	pdxST-8	TRUE	compl
13	1	5	17	18	ao	0	O-CTH	pdxST-8		O-CTH	pdxST-10	TRUE	compl
13	1	5	18	19	ao	0	O-CTH	pdxST-10		O-CTH	pdxST-11	TRUE	compl
13	1	5	19	20	ao	0	O-CTH	pdxST-11		O-CTH	pdxST-42	TRUE	compl
13	1	5	20	21	ao	0	O-CTH	pdxST-42		O-G	pdxST-25	TRUE	compl
14	1	6	2	3	ao	0	O-PU	sfoDF-13		O-CTH	sfoDF-8	TRUE	compl
14	1	6	3	4	ao	0	O-CTH	sfoDF-8		O-CTH	sfoDF-13	TRUE	compl
14	1	6	4	5	ao	0	O-CTH	sfoDF-13		O-CTH	sfoDF-40	TRUE	compl
14	1	6	5	6	ao	0	O-CTH	sfoDF-40		O-CTH	sfoDF-8	TRUE	compl
14	1	6	6	7	ao	0	O-CTH	sfoDF-8		O-CTH	sfoDF-40	TRUE	compl
14	1	6	7	8	ao	0	O-CTH	sfoDF-40		O-CTH	sfoDF-6	TRUE	compl
14	1	6	8	9	ao	0	O-CTH	sfoDF-6		O-CTH	sfoDF-40	TRUE	compl
14	1	6	9	10	ao	0	O-CTH	sfoDF-40		O-CTH	sfoDF-13	TRUE	compl
14	1	6	10	11	ao	0	O-CTH	sfoDF-13		O-CTH	sfoDF-6	TRUE	compl
14	1	6	11	12	ao	0	O-CTH	sfoDF-6		O-CTH	sfoDF-24	TRUE	compl
14	1	6	12	13	ao	0	O-CTH	sfoDF-24		O-CTH	sfoDF-6	TRUE	compl
14	1	6	13	15	ao	1	O-CTH	sfoDF-6	D-F	O-CTH	sfoDF-40	TRUE	compl
14	1	6	15	15	an	-1	O-CTH	sfoDF-40		NA	sfoDF-40	TRUE	taway
15	2	6	16	17	ao	0	O-PU	pdxST-73		D-D	sfoDF-13	TRUE	defd
16	3	6	18	20	ao	1	O-PU	sfoDF-13	D-F	O-CTH	sfoDF-19	TRUE	compl
16	3	6	20	21	ao	0	O-CTH	sfoDF-19		O-CTH	sfoDF-88	TRUE	compl
