point	event	pullNum	pullCode	recvNum	recvCode
31	8	15			
31	9	21			
31	10	15			
31	11	29			
31	12	18	TO		
31	13	20	PU		
31	14	1			
31	15	17			
31	16	99			
31	17			81	F
31	18	17	VTT		
31	19			45	PU
31	20			81	
31	21			8	
31	22			4	G
32	1	33	P		
32	2			17	PU
32	3			20	
32	4			48	G
33	1	29	P		
33	2			5	PU
33	3			19	
33	4			5	
33	5			22	
33	6			19	
33	7			5	
33	8			98	
33	9			5	
33	10			19	
33	11			5	
33	12			22	LG
34	1	81	P		
34	2			17	PU
34	3			25	
34	4			17	
34	5			1	
34	6			48	
34	7			1	
34	8			99	LG
35	1	29	P		
35	2			89	PU
35	3			5	
35	4			21	
35	5			72	
35	6			98	LG
36	1	81	P		
36	2			1	PU
36	3			20	
36	4			17	
36	5			25	
36	6			8	
36	7			1	TD
36	8	45	PU		
36	9	31	L		
36	10	4	G		
37	1	33	P		
37	2			25	PU
37	3			1	
37	4			17	
37	5			48	
37	6	14	HB		
37	7	33	PU		
37	8	18			
37	9			25	F
37	10	75	TO		
37	11	19	PU		
37	12	89			
37	13	21			
37	14	10	G		
38	1	81	P		
38	2			1	PU
38	3			17	
38	4			20	
38	5			17	
38	6	24	D		
38	7	8	PU		
38	8	45			
38	9	8			
38	10	45			
38	11	8			
38	12	27	G		
39	1	33	P		
39	2			1	PU
39	3			29	
39	4			18	
39	5			29	
39	6	18	F		
39	7			20	VST
39	8	33	PU		
39	9	14			
39	10	18			
39	11	33			
39	12	13	TD		
39	13			20	PU
39	14			1	
39	15			99	
39	16			1	
39	17			20	
39	18			29	
39	19			1	
39	20			18	
39	21			29	TD
39	22	18	PU		
39	23			20	D
39	24			20	TO
39	25			20	PU
39	26	98	PU		
39	27	72	G		
40	1	81	P		
40	2			1	PU
40	3			20	
40	4			1	
40	5			20	
40	6			17	
40	7			6	
40	8			51	
40	9	81	F		
40	10			20	
40	11			51	LG
41	1	4	P		
41	2			5	PU
41	3			91	
41	4			5	
41	5			22	
41	6			10	
41	7			19	
41	8			22	
41	9			21	
41	10			91	
41	11	29	PU		
41	12			21	F
41	13	51	SO		
41	14			21	SO
41	15	20	SI		
41	16			8	SI
41	17	4	PU		
41	18	29			
41	19	23			
41	20	20			
41	21	4			
41	22	20			
41	23	4			
41	24	20			
41	25	99	LG		
42	1	29	P		
42	2			75	PU
42	3			89	
42	4			75	
42	5			8	
42	6			19	
42	7			89	
42	8			22	
42	9			8	
42	10			22	
42	11			75	
42	12			89	
42	13			75	
42	14			22	
42	15			8	G
43	1	81	P		
43	2			14	PU
43	3			20	
43	4			14	
43	5			20	
43	6			48	
43	7			17	
43	8	81	PU		
43	9	7			
43	10	27			
43	11	14			
43	12			20	PU
43	13			25	
43	14			48	LG
44	1	4	P		
44	2			19	PU
44	3			5	
44	4			19	
44	5			5	
44	6	7	F		
