point	event	pull_pnum	pull_code	recv_pnum	recv_code
25	15	12	PU		
25	16	14			
25	17	9			
25	18	12			
25	19	21			
25	20	5	G		
26	1	12	P		
26	2			00	PU
26	3			17	
26	4			1	
26	5			25	
26	6			17	
26	7			6	
26	8			17	
26	9			6	
26	10			17	
26	11			48	TD
26	12	17	PU		
26	13	2			
26	14			48	D
26	15			6	PU
26	16			17	
26	17			48	G
27	1	35	P		
27	2			8	PU
27	3			57	
27	4			8	
27	5			18	
27	6			6	
27	7			11	LG
28	1	16	P		
28	2			00	PU
28	3			1	
28	4			17	
28	5			5	
28	6	16	D		
28	7	16	PU		
28	8			17	D
28	9			17	PU
28	10			1	
28	11			17	
28	12			00	
28	13			48	
28	14			5	
28	15			25	
28	16	14	D		
28	17	17	PU		
28	18	16			
28	19	17			
28	20	2	TO		
28	21	8	PU		
28	22	19			
28	23	8			
28	24	1			
28	25	19			
28	26	88			
28	27	18			
28	28	6			
28	29	88			
28	30	18			
28	31	8			
28	32			12	D
28	33			21	PU
28	34			29	
28	35			12	
28	36			29	
28	37			21	
28	38			35	
28	39			18	
28	40			29	
28	41			35	
28	42			21	
28	43	1	PU		
28	44	57			
28	45			29	PU
28	46			21	
28	47			13	G
29	1	35	P		
29	2			1	PU
29	3			8	
29	4			1	
29	5			88	
29	6	12	D		
29	7	12	SO		
29	8			8	SO
29	9	48	SI		
29	10			85	SI
29	11	35	PU		
29	12	21			
29	13	48			
29	14	29			
29	15	21			
29	16	13			
29	17	29			
29	18	48	G		
30	1	35	P		
30	2			17	PU
30	3	21	PU		
30	4	35			
30	5	21			
30	6	15			
30	7	24	TD		
30	8			16	PU
30	9			14	
30	10			21	
30	11			16	
30	12			12	
30	13			5	
30	14			21	
30	15			16	
30	16			2	G
31	1	12	P		
31	2			1	PU
31	3			17	
31	4			1	
31	5			6	
31	6			5	
31	7			51	LG
32	1	35	P		
32	2			11	PU
32	3			8	
32	4			11	
32	5			6	
32	6	29	PU		
32	7	12	TO		
32	8	1	PU		
32	9	17			
32	10	48			
32	11	1			
32	12			21	D
32	13			16	PU
32	14			21	
32	15			46	
32	16			21	
32	17			18	LG
33	1	12	P		
33	2			17	PU
33	3			6	
33	4			00	
33	5			17	
33	6			00	
33	7			6	
33	8			00	
33	9			17	
33	10	16	PU		
33	11	12			
33	12	16			
33	13	2			
33	14	16			
33	15	12			
33	16	85			
33	17	12			
33	18	16			
33	19	2			
33	20	9	G		
34	1	6	P		
34	2			21	PU
34	3			29	
34	4			21	
34	5			28	
34	6			21	
34	7			35	
34	8			28	
34	9			12	
34	10			21	
34	11			29	
34	12			35	
34	13			12	G
35	1	35	P		
35	2			11	PU
35	3			8	
35	4			18	
35	5			88	
35	6			8	
35	7			46	
35	8			18	
35	9			88	G
36	1	12	P		
36	2			17	PU
36	3			00	
36	4			6	
36	5			00	
36	6			6	
36	7			5	
36	8			17	
36	9	17	F		
36	10			00	
36	11			17	
36	12			00	
36	13			25	
36	14			00	
36	15			1	
36	16	12	PU		
36	17			6	F
36	18	21			
36	19	12			
36	20	17			
36	21	5			
36	22	9	G		
37	1	16	P		
37	2			29	PU
37	3			21	
37	4			29	
37	5			21	
37	6			29	
37	7			21	
37	8			29	
37	9			21	
37	10			29	
37	11			28	
37	12			29	
37	13			28	
37	14			29	
37	15			35	
37	16			29	
37	17			21	
37	18			13	
37	19			21	TD
37	20	16	PU		
37	21	85	TD		
37	22			35	PU
37	23			29	
37	24			35	
37	25			12	
37	26	21	D		
37	27	6	PU		
37	28	1	TO		
37	29	57	PU		
37	30	6	TD		
37	31			13	PU
37	32			29	
37	33			28	
37	34			29	
37	35			28	
37	36			29	
37	37			13	
37	38			29	
37	39			35	
