point	event	pullNum	pullCode	recvNum	recvCode
27	13			10	G
28	1	18	P		
28	2			73	PU
28	3			9	
28	4			42	
28	5			9	
28	6			73	
28	7			9	
28	8	24	F		
28	9			73	
28	10			6	
28	11			73	
28	12			42	L
28	13			16	TO
28	14			7	PU
28	15			42	G
29	1	88	P		
29	2			89	PU
29	3			19	VST
29	4	8	PU		
29	5	88			
29	6			89	D
29	7			89	PU
29	8			22	
29	9			91	
29	10	17	PU		
30	1	88	P		
30	2			19	PU
30	3			91	
30	4			21	
30	5			10	
30	6			98	
30	7	5	D		
30	8	22	PU		
30	9	88			
30	10	5	VTT		
30	11			91	PU
30	12			19	
30	13			89	
30	14			98	G
31	1	33	P		
31	2			42	PU
31	3			9	
31	4			42	VTT
31	5	33	PU		
31	6	45			
31	7	8			
31	8	24			
31	9	39	G		
32	1	33	OBP		
32	2			9	PU
32	3			6	
32	4			7	
32	5			6	
32	6			2	
32	7	27	PU		
32	8	81			
32	9			4	F
32	10	24	G		
33	1	33	P		
33	2			7	PU
33	3			73	
33	4			8	
33	5			7	
33	6	4	F		
33	7			8	
33	8			42	
33	9	13	D		
33	10	75	PU		
33	11			8	D
33	12			8	PU
33	13			8	F
33	14			73	
33	15			7	
33	16			73	
33	17			6	
33	18			16	
33	19			6	
33	20			7	
33	21			73	VTT
33	22		TO		
33	23	91	PU		
33	24	22	G		
34	1	81	P		
34	2			42	PU
34	3			9	
34	4			73	
34	5			6	
34	6			7	
34	7			6	
34	8			7	
34	9			6	
34	10			9	
34	11			7	
34	12			6	
34	13			7	
34	14			88	
34	15			73	
34	16			7	
34	17			42	
34	18			7	
34	19			2	
34	20			7	
34	21			6	
34	22			7	
34	23			9	
34	24			7	
34	25			42	
34	26	8	F		
34	27	24	SO		
34	28	75	SI		
34	29			42	PU
34	30			6	
34	31			88	
34	32			9	G
35	1	88	P		
35	2			89	PU
35	3			19	
35	4			22	
35	5			10	
35	6			89	
35	7			91	
35	8			98	
35	9	5	D		
35	10	8	PU		
35	11	88			
35	12	4			
35	13	17			
35	14	8			
35	15	4	LG		
36	1	7	P		
36	2			89	PU
36	3			91	
36	4			22	
36	5			21	
36	6			91	
36	7			19	
36	8			98	
36	9			21	
36	10			19	
36	11			91	
36	12			22	
36	13			21	
36	14			91	
36	15	9	F		
36	16			98	G
37	1	33	OBP		
37	2			88	PU
37	3			7	
37	4			88	
37	5			6	
37	6			88	
37	7			73	
37	8			2	L
37	9			7	
37	10			6	
37	11			73	
37	12			2	G
38	1	88	P		
38	2			89	PU
38	3			91	
38	4			21	
38	5	5	D		
38	6	17	PU		
38	7	17	TO		
38	8	9	PU		
38	9	2			
38	10	11			
38	11	6			
38	12	11			
38	13	6			
38	14	16			
38	15	11			
38	16	7			
38	17	6			
38	18	42			
38	19	11			
38	20	2	LG		
39	1	88	P		
39	2			19	PU
39	3			91	
39	4			10	
39	5	5	D		
