point	event	pull_pnum	pull_code	recv_pnum	recv_code
35	35			21	
35	36			77	
35	37			17	
35	38			1	
35	39			21	
35	40			77	
35	41			17	G
36	1	43	P		
36	2			26	PU
36	3			6	
36	4			33	
36	5			6	
36	6			4	
36	7			18	
36	8	8	PU		
36	9	12			
36	10	8			
36	11	6			
36	12			44	PU
36	13	6	D		
36	14	6	PU		
36	15	12			
36	16	8			
36	17	12			
36	18	29			
36	19	2	F		
36	20			6	PU
36	21			33	
36	22			44	
36	23			6	
36	24			33	G
37	1	81	P		
37	2			7	PU
37	3			13	
37	4			21	
37	5			77	LG
38	1	11	P		
38	2			4	PU
38	3			6	
38	4			4	
38	5			44	
38	6			26	
38	7			4	
38	8			33	
38	9			26	
38	10	14	F		
38	11	88	D		
38	12	14	PU		
38	13	10			
38	14	29			
38	15	11			
38	16	88			
38	17	27			
38	18	29	G		
39	1	43	P		
39	2			19	PU
39	3			47	
39	4			18	
39	5			45	
39	6			19	
39	7	2	D		
39	8	8	PU		
39	9	12			
39	10	8			
39	11	43			
39	12	12			
39	13	88			
39	14	2			
39	15	88			
39	16	6			
39	17	12			
39	18	88			
39	19	25			
39	20	6			
39	21	12			
39	22	8			
39	23	12			
39	24	8			
39	25	12			
39	26	88			
39	27	2			
39	28	25			
39	29	43	G		
40	1	27	OBP		
40	2			6	PU
40	3			14	
40	4			26	
40	5			14	
40	6			44	G
