period	point	event	pl_team	pl_player	pl_code
1	4	12	vanNH	18	A
1	4	13	vanNH	75	G
1	5	1	vanNH	8	P
1	5	2	pdxST	9	PU
1	5	3	pdxST	11	
1	5	4	pdxST	9	
1	5	5	pdxST	16	A
1	5	6	pdxST	7	LG
1	6	1	pdxST	22	P
1	6	2	vanNH	19	PU
1	6	3	vanNH	89	
1	6	4	vanNH	10	
1	6	5	vanNH	21	
1	6	6	vanNH	98	
1	6	7	vanNH	10	
1	6	8	vanNH	21	
1	6	9	vanNH	72	A
1	6	10	vanNH	98	G
1	7	1	vanNH	8	P
1	7	2	pdxST	11	PU
1	7	3	pdxST	9	
1	7	4	pdxST	11	
1	7	5	pdxST	7	
1	7	6	pdxST	6	LA
1	7	7	pdxST	16	G
1	8	1	pdxST	88	P
1	8	2	vanNH	5	PU
1	8	3	vanNH	19	
1	8	4	vanNH	91	
1	8	5	vanNH	22	
1	8	6	vanNH	21	
1	8	7	vanNH	98	TD
1	8	8	pdxST	8	PU
1	8	9	pdxST	88	
1	8	10	pdxST	22	
1	8	11	pdxST	88	
1	8	12	pdxST	25	
1	8	13	pdxST	88	
1	8	14	pdxST	14	TO
1	8	15	pdxST	11	PU
1	8	16	pdxST	9	
1	8	17	pdxST	7	
1	8	18	pdxST	?	VP
1	8	19	pdxST	9	
1	8	20	pdxST	2	
1	8	21	pdxST	9	
1	8	22	pdxST	2	
1	8	23	pdxST	16	
1	8	24	vanNH	81	F
1	8	25	pdxST	7	LA
1	8	26	pdxST	6	G
1	9	1	pdxST	88	P
1	9	2	vanNH	89	PU
1	9	3	vanNH	91	
1	9	4	pdxST	8	D
1	9	5	pdxST	88	PU
1	9	6	pdxST	8	
1	9	7	pdxST	22	
1	9	8	pdxST	88	
1	9	9	pdxST	22	A
1	9	10	pdxST	17	G
1	10	1	pdxST	88	P
1	10	2	vanNH	91	PU
1	10	3	vanNH	5	
1	10	4	pdxST	17	D
1	10	5	pdxST	8	PU
1	10	6	pdxST	25	
1	10	7	pdxST	88	
1	10	8	pdxST	17	
1	10	9	pdxST	25	
1	10	10	pdxST	22	
1	10	11	pdxST	14	
1	10	12	vanNH	72	D
1	10	13	vanNH	91	PU
2	11	1	pdxST	88	P
2	11	2	vanNH	5	PU
2	11	3	vanNH	91	
2	11	4	vanNH	21	
2	11	5	vanNH	91	
2	11	6	vanNH	10	
2	11	7	vanNH	5	
2	11	8	vanNH	22	
2	11	9	vanNH	98	
2	11	10	vanNH	5	
2	11	11	vanNH	91	A
2	11	12	vanNH	98	G
2	12	1	vanNH	8	P
2	12	2	pdxST	11	PU
2	12	3	pdxST	42	
2	12	4	pdxST	7	
2	12	5	pdxST	9	
2	12	6	pdxST	16	
2	12	7	vanNH	39	D
2	12	8	vanNH	39	PU
2	12	9	vanNH	31	
2	12	10	vanNH	8	
2	12	11	vanNH	24	
2	12	12	vanNH	27	
2	12	13	pdxST	42	D
2	12	14	pdxST	11	PU
2	12	15	pdxST	9	
2	12	16	pdxST	7	
2	12	17	pdxST	42	SO
2	12	18	pdxST	73	SI
2	12	19	pdxST	7	PU
2	12	20	pdxST	9	
